,priA
Cr_1,-0.005858223760544953
Cr_2,-0.00928589189346675
Cr_3,0.003639779988113493
Cr_4,0.020256751770659238
Cr_5,0.0352122030244566
Cr_6,0.04779465647820328
Fe_1,-0.038580735691255766
Fe_2,-0.031880278511425615
Fe_3,0.002302922350274141
Fe_4,0.05432855468959909
Fe_5,0.12646878201386771
Fe_6,0.20224041353463187
Cd_1,0.0049597955402078025
Cd_2,0.010554272722310172
Cd_3,0.025771137807602342
Cd_4,0.0402740559224728
Cd_5,0.05039732710855916
Cd_6,0.06516992632489615
Zn_1,-0.015309994297370488
Zn_2,-0.009865103579412627
Zn_3,-0.0039683255540951855
Zn_4,0.01480420387942604
Zn_5,0.02163659654085479
Zn_6,0.027380936120303283
Cu_1,0.018154526958727008
Cu_2,0.030688538143536524
Cu_3,0.04528770072162274
Cu_4,0.061489178272210926
Cu_5,0.07477454700536666
Cu_6,0.08306224373773717
Pb_1,0.01249363159057398
Pb_2,0.021677755339937287
Pb_3,0.021969189455245258
Pb_4,0.02574135354559836
Pb_5,0.03466591901468497
Pb_6,0.026134341962967524
