,yraM
Cr_1,0.005502932721098234
Cr_2,0.01141052725912051
Cr_3,0.015910089413696628
Cr_4,0.01839596318993936
Cr_5,0.022948646305170472
Cr_6,0.02337788568763871
Fe_1,-0.004181038019509978
Fe_2,-0.014179986845712941
Fe_3,-0.029324010435969314
Fe_4,-0.05681296638953059
Fe_5,-0.07806493662155636
Fe_6,-0.09846828427756144
Cd_1,0.003949122819035407
Cd_2,0.0096948129741748
Cd_3,0.014159304012861654
Cd_4,0.01793216737016198
Cd_5,0.01620067346071611
Cd_6,0.01948857932467829
Zn_1,0.0035365022137935826
Zn_2,0.007685951341965134
Zn_3,0.017822522142518712
Zn_4,0.032704239062302784
Zn_5,0.043631480765350096
Zn_6,0.05361763396677139
Cu_1,0.0025053217805489428
Cu_2,0.0019009466285606765
Cu_3,0.002325858729897544
Cu_4,0.002144037573196345
Cu_5,0.0032509650608340546
Cu_6,0.008744272120552541
Pb_1,0.011023379405864892
Pb_2,0.020476725561274917
Pb_3,0.03499241330942968
Pb_4,0.057084337664019415
Pb_5,0.08050728511468723
Pb_6,0.10562880270177258
