,aldB
Cr_1,0.0018238472774567524
Cr_2,0.002584283838624976
Cr_3,0.01182782977363895
Cr_4,0.02088807678868336
Cr_5,0.021919432540758132
Cr_6,0.033701727279443226
Fe_1,-0.018191805751091413
Fe_2,-0.04484114614328792
Fe_3,-0.0686249739197341
Fe_4,-0.10443643503138024
Fe_5,-0.1297385439850538
Fe_6,-0.1454749964906742
Cd_1,-0.006508673595702841
Cd_2,-0.008739127121258818
Cd_3,-0.006885343698961302
Cd_4,-0.01016696670165938
Cd_5,-0.010978698888729592
Cd_6,-0.010891214683726792
Zn_1,0.011460574119872944
Zn_2,0.018923554630095044
Zn_3,0.031195699821046686
Zn_4,0.05954798745352051
Zn_5,0.07648719560874871
Zn_6,0.07516418644441958
Cu_1,0.005370671882694553
Cu_2,0.009074127332205443
Cu_3,0.012023406765113622
Cu_4,0.022388243301373668
Cu_5,0.035821360853779134
Cu_6,0.047383540164975736
Pb_1,0.0026787076063851463
Pb_2,0.014126404728486931
Pb_3,0.024042595226964742
Pb_4,0.042746159301732006
Pb_5,0.057002677884715976
Pb_6,0.07071087823004553
