,dgoR
Cr_1,-0.0011549527481214815
Cr_2,-0.003442814192874341
Cr_3,0.01128066960507737
Cr_4,0.02851413416969045
Cr_5,0.045812113957177734
Cr_6,0.06294214249329871
Fe_1,-0.03723379013606508
Fe_2,-0.11225525368169836
Fe_3,-0.19387029021298205
Fe_4,-0.27921166169540457
Fe_5,-0.35083841405007643
Fe_6,-0.428061973373352
Cd_1,0.003835783561594439
Cd_2,0.0061478427532779744
Cd_3,0.008396489400409966
Cd_4,0.016684093535748082
Cd_5,0.016499317723895717
Cd_6,0.016371266342511768
Zn_1,0.022583650715428876
Zn_2,0.06201897985112944
Zn_3,0.1056809412202466
Zn_4,0.07517974372319333
Zn_5,0.03974822073305695
Zn_6,0.04681389632200145
Cu_1,-0.0023098789079068266
Cu_2,2.4821519490915798e-05
Cu_3,0.0144446862905424
Cu_4,0.03517652739444607
Cu_5,0.048974637755524006
Cu_6,0.057653331288283365
Pb_1,0.00557015196745366
Pb_2,0.012830570700617449
Pb_3,0.030504540486789262
Pb_4,0.055428067323927535
Pb_5,0.0826826066206952
Pb_6,0.10214519400692416
