,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
0,ALE__GalactoseA5,2.297874281993765,0.26591750319334573,2.0,0.0,2.485906351737975,1.0,2.109842212249555,,,,
1,ALE__GalactoseA6,2.1763274709262874,0.24699931066381817,2.0,2.0,2.001672583407499,3.0,2.350982358445076,,,,
2,ALE__GalactoseA8,2.9372140223945107,0.0612276052174488,2.0,4.0,2.9805084772395816,5.0,2.89391956754944,,,,
3,ALE__IL_Control,1.6271966413183847e-11,0.5401946078290643,4.0,6.0,0.6705094693181226,7.0,-0.6318803703324631,8.0,-0.1329560658271503,9.0,0.0943269669065787
4,ALE__IL_TEOH_OAc,2.2220118482072504,0.33433967970042233,2.0,10.0,1.9855979934713432,11.0,2.458425702943157,,,,
5,ALE__IL_TEA_HS,2.06628038692099,0.9277150680963305,2.0,12.0,2.722274002580845,13.0,1.4102867712611349,,,,
6,ALE__IL_Mixed,2.178357314176054,0.1123725323089223,2.0,14.0,2.2578166937907977,15.0,2.098897934561311,,,,
7,ALE__IL_PP5350,-0.4143855266518221,0.3967889494694375,2.0,16.0,-0.6949576835215477,17.0,-0.1338133697820965,,,,
8,ALE__IL_T8,0.3251940609763944,0.49713820514262785,2.0,18.0,-0.0263357350668667,19.0,0.6767238570196555,,,,
9,ALE__IL_T9,1.4263246112905517,0.24195642388051752,2.0,20.0,1.5974136393681122,21.0,1.255235583212991,,,,
10,ALE__IL_Control2,1.3708527654034834,0.39036363042727507,2.0,22.0,1.0948239951997578,23.0,1.6468815356072088,,,,
11,ALE__IL_Glc+Ace,-0.8880132536225206,0.302170401504985,2.0,24.0,-0.674346513644484,25.0,-1.1016799936005572,,,,
12,ALE__XyloseA1,0.1919676654652193,0.40838439571128016,2.0,26.0,0.4807390410034359,27.0,-0.0968037100729973,,,,
13,ALE__XyloseA2,0.5784048086173872,0.5506371803279757,2.0,28.0,0.1890455244340358,29.0,0.9677640928007386,,,,
14,ALE__XyloseA3,1.374138174406361,0.3473973253950721,2.0,30.0,1.128491169853436,31.0,1.619785178959286,,,,
15,ALE__XyloseA4,0.04420336215194924,0.16813501069782483,2.0,32.0,-0.0746860440673554,33.0,0.1630927683712539,,,,
16,Aromatic__Coumarate,3.575997301642422,0.5429025840866478,3.0,34.0,2.9515432364416223,35.0,3.8404116147154186,36.0,3.9360370537702254,,
17,Aromatic__Coumarate+ferulate,1.087178227851169,0.169986754702966,3.0,37.0,1.270762910775267,38.0,1.055535657138394,39.0,0.9352361156398464,,
18,Aromatic__Ferulate,0.6377930564502811,0.41017255558365,3.0,40.0,0.2089045297767435,41.0,1.0262559944167406,42.0,0.6782186451573589,,
19,Aromatic__Glucose,1.6723659494270274e-13,0.6521322253495772,3.0,43.0,-0.2034291314766591,44.0,-0.5261698827782862,45.0,0.729599014255447,,
20,Bioreactor1__24h,-3.276818538733295e-10,0.6640382616767064,2.0,46.0,0.4695459574712444,47.0,-0.4695459581266081,,,,
21,Bioreactor2__S_0min,4.437472611584781e-11,0.19740413375922977,3.0,48.0,-0.09515678867133,60.0,0.226958664209745,72.0,-0.1318018754052908,,
22,Bioreactor2__S_15min,0.321353509860676,0.10802787677466838,3.0,49.0,0.2031952286608709,61.0,0.4150590507697902,73.0,0.3458062501513669,,
23,Bioreactor2__P1_15min,0.0041621087101008465,0.5450786718402988,3.0,50.0,-0.0184121589104448,62.0,0.560177211626267,74.0,-0.5292787265855197,,
24,Bioreactor2__P3_15min,0.5774108394246552,0.2304828281515551,3.0,51.0,0.3152826038430296,63.0,0.6686136331545808,75.0,0.7483362812763555,,
25,Bioreactor2__P5_15min,0.5403246916804053,0.32293534082804354,3.0,52.0,0.1889974496679785,64.0,0.6077565654001553,76.0,0.8242200599730822,,
26,Bioreactor2__S_1h,0.1647444633684321,0.542931249290176,3.0,53.0,0.2300867807428632,65.0,-0.4079008869482497,77.0,0.6720474963106828,,
27,Bioreactor2__S_3h,0.8383617151417843,0.29308757540133945,3.0,54.0,1.092655420708942,66.0,0.5178205492662,78.0,0.9046091754502108,,
28,Bioreactor2__S_9h,0.6045313126535468,0.15731289087215417,3.0,55.0,0.4232438956286401,67.0,0.6852503067679697,79.0,0.7050997355640305,,
29,Bioreactor2__S_25h,0.6152740551450991,0.20041125918929528,3.0,56.0,0.6068558299802094,68.0,0.8197617809733017,80.0,0.4192045544817862,,
30,Bioreactor2__P1_25h,0.9056514129535055,0.5528079224846899,3.0,57.0,0.4169723807009143,69.0,0.7943349130483803,81.0,1.5056469451112218,,
31,Bioreactor2__P3_25h,1.1126344404106698,0.396449210454514,3.0,58.0,1.3846546023794055,70.0,1.2954907108682263,82.0,0.657758007984378,,
32,Bioreactor2__P5_25h,1.837922214325462,0.5154555204281003,3.0,59.0,2.3032990332860424,71.0,1.9265789554549209,83.0,1.283888654235423,,
33,Carbon__Citrate,-3.8431944030077436,0.33637180808672207,3.0,84.0,-4.2296687266745,85.0,-3.6164282815234463,86.0,-3.683486200825285,,
34,Carbon__Ferulate,-2.6006492830830683,0.36067406482267117,3.0,87.0,-2.817017125450946,88.0,-2.8006446905821383,89.0,-2.18428603321612,,
35,Carbon__Glucose,1.5851125273469435e-10,0.05023666439743494,2.0,90.0,-0.0355226859011078,91.0,0.0355226862181303,,,,
36,Carbon__Serine,-1.3063141706843509,0.4242451801460728,3.0,92.0,-1.1767818644004218,93.0,-0.96193486179753,94.0,-1.7802257858551014,,
