,A,HutC
R2,,0.6901743962934183
xmin,,-3.11856454025
xmid,,1.1764247430148307
xmax,,2.165662569
ystart,,-0.6900180534954998
yend,,28.184867943859288
ALE:GalactoseA5:1.0,2.485906351737975,0.8860980135000007
ALE:GalactoseA5:2.0,2.109842212249555,0.9194182325000008
ALE:GalactoseA6:1.0,2.001672583407499,0.790494132500001
ALE:GalactoseA6:2.0,2.350982358445076,0.917372803500001
ALE:GalactoseA8:1.0,2.9805084772395816,0.7963368995000009
ALE:GalactoseA8:2.0,2.89391956754944,0.6648433465000005
ALE:IL_Control:1.0,0.6705094693181226,-0.0523149064999994
ALE:IL_Control:2.0,-0.6318803703324631,-0.2764753664999988
ALE:IL_Control:3.0,-0.1329560658271503,0.154798243500001
ALE:IL_Control:4.0,0.0943269669065787,0.1739920295000008
ALE:IL_TEOH_OAc:1.0,1.9855979934713432,-0.1288570604999988
ALE:IL_TEOH_OAc:2.0,2.458425702943157,0.2731601795000005
ALE:IL_TEA_HS:1.0,2.722274002580845,0.2396587835000012
ALE:IL_TEA_HS:2.0,1.4102867712611349,0.4593508115000011
ALE:IL_Mixed:1.0,2.2578166937907977,0.5964092565000012
ALE:IL_Mixed:2.0,2.098897934561311,0.1327991615000012
ALE:IL_PP5350:1.0,-0.6949576835215477,0.1640457155000012
ALE:IL_PP5350:2.0,-0.1338133697820965,-0.0156350844999995
ALE:IL_T8:1.0,-0.0263357350668667,0.3520463115000005
ALE:IL_T8:2.0,0.6767238570196555,0.369204099500001
ALE:IL_T9:1.0,1.5974136393681122,0.6358733205000009
ALE:IL_T9:2.0,1.255235583212991,0.5425115065000012
ALE:IL_Control2:1.0,1.0948239951997578,0.228070433500001
ALE:IL_Control2:2.0,1.6468815356072088,0.245472995500001
ALE:IL_Glc+Ace:1.0,-0.674346513644484,0.0494102435000005
ALE:IL_Glc+Ace:2.0,-1.1016799936005572,0.2175508945000013
ALE:XyloseA1:1.0,0.4807390410034359,0.7142468955000005
ALE:XyloseA1:2.0,-0.0968037100729973,0.6146139165000006
ALE:XyloseA2:1.0,0.1890455244340358,0.7803517185000013
ALE:XyloseA2:2.0,0.9677640928007386,0.8927777875000009
ALE:XyloseA3:1.0,1.128491169853436,0.5316421925000006
ALE:XyloseA3:2.0,1.619785178959286,0.8986694915000006
ALE:XyloseA4:1.0,-0.0746860440673554,0.6090300755000007
ALE:XyloseA4:2.0,0.1630927683712539,0.4652040425000008
Aromatic:Coumarate:1.0,2.9515432364416223,1.39677798
Aromatic:Coumarate:2.0,3.8404116147154186,0.8166726799999995
Aromatic:Coumarate:3.0,3.9360370537702254,1.1894366919999997
Aromatic:Coumarate+ferulate:1.0,1.270762910775267,1.038496786
Aromatic:Coumarate+ferulate:2.0,1.055535657138394,0.6622325710000001
Aromatic:Coumarate+ferulate:3.0,0.9352361156398464,0.6063031029999997
Aromatic:Ferulate:1.0,0.2089045297767435,0.1489537599999999
Aromatic:Ferulate:2.0,1.0262559944167406,0.345080877
Aromatic:Ferulate:3.0,0.6782186451573589,0.5208134709999999
Aromatic:Glucose:1.0,-0.2034291314766591,-0.050608457
Aromatic:Glucose:2.0,-0.5261698827782862,-0.077623135
Aromatic:Glucose:3.0,0.729599014255447,0.1282315919999996
Bioreactor1:24h:1.0,0.4695459574712444,0.0045521094999996
Bioreactor1:24h:2.0,-0.4695459581266081,-0.0045521095000005
Bioreactor2:S_0min:1.0,-0.09515678867133,-0.0498259706666663
Bioreactor2:S_15min:1.0,0.2031952286608709,0.2050493013333336
Bioreactor2:P1_15min:1.0,-0.0184121589104448,0.4028714733333336
Bioreactor2:P3_15min:1.0,0.3152826038430296,0.2687876003333334
Bioreactor2:P5_15min:1.0,0.1889974496679785,-0.1511735466666666
Bioreactor2:S_1h:1.0,0.2300867807428632,0.5394194873333333
Bioreactor2:S_3h:1.0,1.092655420708942,0.3348849353333336
Bioreactor2:S_9h:1.0,0.4232438956286401,0.5817052983333335
Bioreactor2:S_25h:1.0,0.6068558299802094,0.3814769723333335
Bioreactor2:P1_25h:1.0,0.4169723807009143,0.2888026763333333
Bioreactor2:P3_25h:1.0,1.3846546023794055,0.3258957213333335
Bioreactor2:P5_25h:1.0,2.3032990332860424,-0.1084094916666664
Bioreactor2:S_0min:2.0,0.226958664209745,0.5075350503333333
Bioreactor2:S_15min:2.0,0.4150590507697902,0.4300304943333333
Bioreactor2:P1_15min:2.0,0.560177211626267,0.1116496143333334
Bioreactor2:P3_15min:2.0,0.6686136331545808,0.6420647983333336
Bioreactor2:P5_15min:2.0,0.6077565654001553,-0.7061146766666666
Bioreactor2:S_1h:2.0,-0.4079008869482497,0.2649336113333334
Bioreactor2:S_3h:2.0,0.5178205492662,0.2132817803333333
Bioreactor2:S_9h:2.0,0.6852503067679697,0.5034849683333333
Bioreactor2:S_25h:2.0,0.8197617809733017,0.3160702013333334
Bioreactor2:P1_25h:2.0,0.7943349130483803,0.2677686083333332
Bioreactor2:P3_25h:2.0,1.2954907108682263,0.1638923473333333
Bioreactor2:P5_25h:2.0,1.9265789554549209,0.0029410943333334
Bioreactor2:S_0min:3.0,-0.1318018754052908,-0.4577090796666665
Bioreactor2:S_15min:3.0,0.3458062501513669,0.1373313643333333
Bioreactor2:P1_15min:3.0,-0.5292787265855197,-0.3585270056666667
Bioreactor2:P3_15min:3.0,0.7483362812763555,0.0703153793333335
Bioreactor2:P5_15min:3.0,0.8242200599730822,0.0095397983333334
Bioreactor2:S_1h:3.0,0.6720474963106828,0.1339582193333335
Bioreactor2:S_3h:3.0,0.9046091754502108,0.3757430653333333
Bioreactor2:S_9h:3.0,0.7050997355640305,0.3949569993333335
Bioreactor2:S_25h:3.0,0.4192045544817862,-0.2282963716666666
Bioreactor2:P1_25h:3.0,1.5056469451112218,0.4319141783333333
Bioreactor2:P3_25h:3.0,0.657758007984378,-0.1703722346666665
Bioreactor2:P5_25h:3.0,1.283888654235423,-0.6121930226666668
Carbon:Citrate:1.0,-4.2296687266745,-0.1022854354999989
Carbon:Citrate:2.0,-3.6164282815234463,0.3385611065000011
Carbon:Citrate:3.0,-3.683486200825285,-0.1932149014999993
Carbon:Ferulate:1.0,-2.817017125450946,-0.3410189784999993
