,eco
Cr_1,-0.003962088247643532
Cr_2,-0.0016429420758203642
Cr_3,0.0024113580701215077
Cr_4,0.006353494591000741
Cr_5,0.033864158447285034
Cr_6,0.04882304992104289
Fe_1,-0.06358970472390417
Fe_2,-0.1143524994387736
Fe_3,-0.14969129681760016
Fe_4,-0.20000089397638365
Fe_5,-0.05243488042369125
Fe_6,-0.07493847617403862
Cd_1,-0.003993147077644179
Cd_2,-0.0035699090669063203
Cd_3,-0.001095266958643959
Cd_4,0.003941873341564201
Cd_5,0.0017394617978598384
Cd_6,0.009681939988836758
Zn_1,-0.03115354001318425
Zn_2,-0.048958572036483516
Zn_3,-0.047989249576175175
Zn_4,-0.03897954242264592
Zn_5,-0.03361725934592448
Zn_6,-0.03302883283488565
Cu_1,0.008344221807230913
Cu_2,0.014953142419369675
Cu_3,0.02179681582835416
Cu_4,0.030621554955014355
Cu_5,0.04489778340769067
Cu_6,0.05638113911698145
Pb_1,0.004810676679878839
Pb_2,0.007394942446739524
Pb_3,0.010272975700909069
Pb_4,0.017445660005868346
Pb_5,0.025314815701429547
Pb_6,0.028886279858914926
