,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
0,Control__wt_glc,5.409948298571294,0.027403063371135454,2.0,0.0,5.39057140663628,1.0,5.429325190506309,,,,,,,,
1,Fur__wt_dpd,6.698059469344475,0.21098214792422795,2.0,2.0,6.8472463768509995,3.0,6.54887256183795,,,,,,,,
2,Fur__wt_fe,4.39789686153278,0.41096655893696654,2.0,4.0,4.6884941021980095,5.0,4.10729962086755,,,,,,,,
3,Fur__delfur_dpd,7.123317871219845,0.23557235285749564,2.0,6.0,7.28989267938545,7.0,6.9567430630542395,,,,,,,,
4,Fur__delfur_fe2,7.2537270358156745,0.0471429416966108,2.0,8.0,7.220391942056919,9.0,7.28706212957443,,,,,,,,
5,Acid__wt_ph5,5.54985101686372,0.14173455844142127,2.0,10.0,5.65007248426613,11.0,5.44962954946131,,,,,,,,
6,Acid__delgadx_ph5,4.807538718201675,0.2826361254249522,2.0,12.0,4.6076847973054,13.0,5.007392639097951,,,,,,,,
7,Acid__delgadw_ph5,2.6511736788529197,0.04235315766216536,2.0,14.0,2.6212254738653398,15.0,2.6811218838405,,,,,,,,
8,Acid__delgade_ph5,5.40804607195004,0.0561129624092686,2.0,16.0,5.4477239281821,17.0,5.368368215717981,,,,,,,,
9,Oxidative__wt_pq,6.701797695521931,0.15012852956124276,2.0,18.0,6.5956407942196105,19.0,6.80795459682425,,,,,,,,
10,Oxidative__deloxyr_pq,7.24701666749502,0.06648293984561303,2.0,20.0,7.29402720509307,21.0,7.20000612989697,,,,,,,,
11,Oxidative__delsoxr_pq,6.86428160518517,0.1387162312013139,2.0,22.0,6.96236879292826,23.0,6.76619441744208,,,,,,,,
12,Oxidative__delsoxs_pq,6.669180492294055,0.037468124610737855,2.0,24.0,6.6956744572846505,25.0,6.64268652730346,,,,,,,,
13,Nac/NtrC__wt_csn,4.913896876779511,0.08560847637004905,2.0,26.0,4.8533625426112,27.0,4.97443121094782,,,,,,,,
14,Nac/NtrC__wt_cytd,5.579823667277315,0.2715622498875113,2.0,28.0,5.38780015886758,29.0,5.77184717568705,,,,,,,,
15,Nac/NtrC__wt_gln,3.561426057283465,0.0582527435125928,2.0,30.0,3.6026169672439403,31.0,3.5202351473229903,,,,,,,,
16,Nac/NtrC__bw_delnac_csn,5.45248382615401,0.38680629800132227,2.0,32.0,5.178970469831611,33.0,5.7259971824764095,,,,,,,,
17,Nac/NtrC__bw_delnac_cytd,5.358072192792095,0.018804599357826822,2.0,34.0,5.371369052515511,35.0,5.34477533306868,,,,,,,,
18,Nac/NtrC__bw_delnac_gln,5.87142826222353,0.009066052412667145,2.0,36.0,5.86501759508394,37.0,5.8778389293631195,,,,,,,,
19,Nac/NtrC__bw_delnac_nh4,5.75059959851892,0.12152657128363531,2.0,38.0,5.664667335869911,39.0,5.836531861167929,,,,,,,,
20,Misc__wt_no_te,7.426705484676025,0.19886403703253025,2.0,40.0,7.28608737555619,41.0,7.56732359379586,,,,,,,,
21,Misc__bw_delcbl,6.488608257443721,0.14543921675191523,2.0,42.0,6.385767201027981,43.0,6.59144931385946,,,,,,,,
22,Misc__bw_delfabr,5.190918126044625,0.006348985797889737,2.0,44.0,5.18642871513328,45.0,5.19540753695597,,,,,,,,
23,Misc__bw_delfadr,7.277957041965806,0.03104524409019008,2.0,46.0,7.25600473934604,47.0,7.29990934458557,,,,,,,,
24,Misc__nitr_031,5.90953724931954,,1.0,48.0,5.90953724931954,,,,,,,,,,
25,Omics__wt_glu,2.76067029884792,0.09691487590927349,2.0,49.0,2.69214113289462,50.0,2.82919946480122,,,,,,,,
26,Omics__wt_gly,5.19711483387538,0.08888926709169592,2.0,51.0,5.25996903741062,52.0,5.1342606303401395,,,,,,,,
27,Omics__wt_thr,3.65437582160085,0.3864049070378487,2.0,53.0,3.9276053516510703,54.0,3.3811462915506296,,,,,,,,
28,Omics__bw_ac,4.558425742121905,0.002089962444378981,2.0,55.0,4.559903568738751,56.0,4.556947915505059,,,,,,,,
29,Omics__bw_fum,4.74157267804933,0.1377914866759927,2.0,57.0,4.64413938343096,58.0,4.8390059726677,,,,,,,,
30,Omics__bw_glc,4.89778297776591,0.11928968820193876,2.0,59.0,4.98213352521913,60.0,4.81343243031269,,,,,,,,
31,Omics__bw_pyr,4.89191968963476,0.16412317454755557,2.0,61.0,4.77586707996232,62.0,5.0079722993072,,,,,,,,
32,OmpR__wt_nacl,6.108304717204016,0.20856468356598543,2.0,63.0,6.25578221926955,64.0,5.9608272151384805,,,,,,,,
33,OmpR__bw_delompr_nacl,5.501943814009486,0.13451102619386784,2.0,65.0,5.406830155243441,66.0,5.597057472775531,,,,,,,,
34,MinSpan__wt_ade,2.58185954217177,,1.0,67.0,2.58185954217177,,,,,,,,,,
35,MinSpan__wt_glc,2.9980072081485147,0.37742847374196814,4.0,68.0,2.5375976380502703,69.0,2.87697274964013,70.0,3.16284859092348,71.0,3.41460985398018,,,,
36,MinSpan__wt_glc_anaero,1.343690549205805,0.47688939548966447,2.0,72.0,1.6809022746325002,73.0,1.00647882377911,,,,,,,,
37,MinSpan__wt_trp,0.6785822533038239,,1.0,74.0,0.6785822533038239,,,,,,,,,,
38,MinSpan__bw_delcra_glc,1.38921755332567,0.092828562386652,2.0,75.0,1.45485725927707,76.0,1.3235778473742699,,,,,,,,
39,MinSpan__bw_delcra_trp,1.3605495981122602,,1.0,77.0,1.3605495981122602,,,,,,,,,,
40,MinSpan__bw_delmntr,1.20287818780801,,1.0,78.0,1.20287818780801,,,,,,,,,,
41,MinSpan__bw_delnac_ade,2.77900440697812,,1.0,79.0,2.77900440697812,,,,,,,,,,
42,MinSpan__bw_delnac_glc,1.4750185660801203,,1.0,80.0,1.4750185660801203,,,,,,,,,,
43,Cra/Crp__wt_ac,5.849383915427155,0.02755949598033124,2.0,81.0,5.868871421920931,82.0,5.829896408933379,,,,,,,,
44,Cra/Crp__wt_fru,4.494160155059545,0.08779404043132409,2.0,83.0,4.5562399163963,84.0,4.4320803937227895,,,,,,,,
45,Cra/Crp__delcra_ac,7.256802626971284,0.051304882397675305,2.0,85.0,7.22052459671991,86.0,7.293080657222659,,,,,,,,
46,Cra/Crp__delcra_fru,7.566436504813936,0.011438242074857842,2.0,87.0,7.55834844627795,88.0,7.574524563349921,,,,,,,,
47,Cra/Crp__delcra_glc,6.425147132583015,0.018866628346257897,2.0,89.0,6.411806411741249,90.0,6.43848785342478,,,,,,,,
