,A,GlcC
crp__delar1_glyc__2,6.3598183723,2.1041049633
crp__delar1ar2_glyc__1,6.9305596242,6.8274663914
crp__delar1ar2_glyc__2,7.1340588944,6.607846113
crp__delar1ar2_glyc__3,6.7165710264000005,6.5496423155
crp__delar2_glyc__1,1.1928771067,2.627184041
crp__delar2_glyc__2,0.7760865106,2.3033796765
crp__delar2_glyc__3,1.0588901533,2.5823565922
crp__delcrp_fru__1,13.0151642758,5.5041195426
crp__delcrp_fru__2,13.3640448948,5.3778076216
crp__delcrp_fru__3,13.559633963,5.4710634061
crp__delcrp_glc__1,7.3476608314,5.8501568717
crp__delcrp_glc__2,6.605461128,6.180728579
crp__delcrp_glc__3,6.8346011648000005,6.0426343324
crp__delcrp_glyc__1,4.7623945281,4.4809348836
crp__delcrp_glyc__2,3.8436040221,4.8913300637
crp__delcrp_glyc__3,3.5865511398,4.6109391892
glu__glu_ale3__1,-1.5556562974,2.543000214
glu__glu_ale4__1,0.0248384879,4.6536029941
glu__glu_ale5__1,0.7405595202,6.0630269764
glu__glu_ale6__1,-2.2131394671,5.5209699441
glu__glu_ale8__1,-0.6649754173,2.7907252812000003
glu__glu_ale9__1,-1.8966692102,3.0955374687
glu__glu_ale10__1,-1.9361064372,2.5518552928
42c__wt_42c__1,1.3990006130000001,4.8876723789
42c__42c_ale1__1,-0.3636759365,3.7543767635
42c__42c_ale2__1,-1.5175795353,3.9569578197
42c__42c_ale3__1,-1.0234335146,5.0379877043
42c__42c_ale4__1,-0.9592531461,2.6574844226
42c__42c_ale5__1,-2.0098942323,5.2690517069
42c__42c_ale6__1,-1.5570706452,1.5633704653
42c__42c_ale8__1,-2.0949915481,3.2726493128
42c__42c_ale9__1,-1.3261315074,5.2257916271
42c__42c_ale10__1,-2.3956930608,2.8195511916
ssw__wt_ac__1,7.6657309805,6.7760081351
ssw__wt_glc__1,4.4045209426,6.2592051653
ssw__wt_glyc__1,6.3948464678,6.5346706716
ssw__wt_xyl__1,-2.116151551,2.542558917
ssw__glc_ale1__1,-2.3443500359,2.5442294374000003
ssw__glc_ale2__1,-1.4833141896,3.409385428
ssw__glc_ale3__1,-2.1869912376,2.5408214964
ssw__glyc_ale1__1,2.5154389043,5.2861583383
ssw__glyc_ale2__1,3.425174459,5.8798326622
ssw__xyl_ale1__1,-2.6376773833,4.3266225496
ssw__xyl_ale2__1,7.692673772,5.7447479009
ssw__xyl_ale3__1,-0.3553259575,4.9490783841
ssw__glc_ac_ac2__1,12.9717943217,7.0735673296
ssw__glc_ac_glc1__1,-2.1207366628,5.4098947699
ssw__glc_ac_glc2__1,-2.4430080788,2.2049004841
ssw__glc_glyc_glc__1,-1.115882974,3.5067594204
ssw__glc_glyc_glyc__1,5.6879232479,4.3321748225
ssw__glc_xyl_glc__1,-3.5025752905000003,3.8930174338
ssw__glc_xyl_xyl__1,9.1895179552,5.195172484
pgi__glu4_delpgi__1,7.5123117527000005,6.1928459886
pgi__pgi_ale1__1,1.9172850034,6.3591257761
pgi__pgi_ale2__1,11.294316624,6.1182724422
pgi__pgi_ale3__1,3.1471560637,6.2907071762
