,ytfL
Cr_1,-0.00615324980023347
Cr_2,-0.01007198228602288
Cr_3,-0.0010747459178689746
Cr_4,0.005777490189221679
Cr_5,0.019147167588755714
Cr_6,0.03509534059701685
Fe_1,-0.06828000663754145
Fe_2,-0.15275254628944726
Fe_3,-0.21919524373313956
Fe_4,-0.2718243283381069
Fe_5,-0.3128413720171969
Fe_6,-0.33383777197488496
Cd_1,0.0004671189003489545
Cd_2,0.001964436080227177
Cd_3,-0.00031305703325348324
Cd_4,-0.0011403247758849705
Cd_5,-0.002938295453631955
Cd_6,-0.002191975982131333
Zn_1,-0.003809336321527811
Zn_2,0.005987872138678946
Zn_3,0.01682670810234439
Zn_4,0.03502407666898705
Zn_5,0.054077106798718515
Zn_6,0.06068916342313758
Cu_1,-0.0039673175196356285
Cu_2,-0.0062712354472101006
Cu_3,-0.003737561753276635
Cu_4,0.0003452957633741597
Cu_5,0.0068242891502523426
Cu_6,0.016330986243110544
Pb_1,-0.00038265001697850877
Pb_2,-0.0029486631753631305
Pb_3,-0.0055783190297321004
Pb_4,0.0005963667190591951
Pb_5,0.0042825806525851745
Pb_6,0.020167638979942882
