,A,ArgR
R2,,0.3751367647711731
xmin,,6.2950815795
xmid,,
xmax,,9.510083443
ystart,,-14.417351806589352
yend,,2.3277886429787813
control__wt_glc__1,-0.2896296013,8.1918890095
control__wt_glc__2,0.2896296013,8.0603046998
fur__wt_dpd__1,-10.0857186475,8.098547401
fur__wt_dpd__2,-13.1879156698,8.0100651919
fur__wt_fe__1,2.3711294236000002,8.4129535838
fur__wt_fe__2,1.8619177425000002,8.3692477946
fur__delfur_dpd__1,-8.7087010932,8.0723295665
fur__delfur_dpd__2,-7.8815884653,8.6085776441
fur__delfur_fe2__1,-1.2370272714000001,8.5256008093
fur__delfur_fe2__2,-1.2356038604,8.4194414998
acid__wt_ph5__1,-2.5399637684,8.443480342
acid__wt_ph5__2,-2.4816827989,8.3132839199
acid__delgadx_ph5__1,-3.4644183999,8.5333058805
acid__delgadx_ph5__2,-3.7077280401,8.263378940399999
acid__delgadw_ph5__1,-2.2533895665,8.1486988765
acid__delgadw_ph5__2,-2.2474697251,8.3992019959
acid__delgade_ph5__1,-2.1848931966,8.4231094844
acid__delgade_ph5__2,-2.1408488404,8.3282438136
oxidative__wt_pq__1,-16.4119474638,6.2950815795
oxidative__wt_pq__2,-16.8127074109,6.397842923
oxidative__deloxyr_pq__1,-17.2155143279,6.2993854373
oxidative__deloxyr_pq__2,-17.1696300373,6.4639472841
oxidative__delsoxr_pq__1,-16.1398760957,6.8049511422
oxidative__delsoxr_pq__2,-16.7408885392,7.0657919018
oxidative__delsoxs_pq__1,-16.0880327166,6.9710176613
oxidative__delsoxs_pq__2,-16.2643565813,6.6530676075
nac_ntrc__wt_csn__1,-3.1284577526,7.8125684901
nac_ntrc__wt_csn__2,-2.8845729763,7.8107967196
nac_ntrc__wt_cytd__1,-3.533442864,7.5568999011999995
nac_ntrc__wt_cytd__2,-4.1348476254,7.5497555454
nac_ntrc__wt_gln__1,-14.2181183926,7.6943189731
nac_ntrc__wt_gln__2,-14.6128147636,7.745303058
nac_ntrc__bw_delnac_csn__1,-4.693853203,7.9631809563000004
nac_ntrc__bw_delnac_csn__2,-4.2500408094,8.2438886417
nac_ntrc__bw_delnac_cytd__1,1.0160857443,8.4400002538
nac_ntrc__bw_delnac_cytd__2,0.9714617006,8.2954262356
nac_ntrc__bw_delnac_gln__1,-11.44381437,7.8750723354000005
nac_ntrc__bw_delnac_gln__2,-11.7398162388,8.0689367914
nac_ntrc__bw_delnac_nh4__1,0.1104967344,8.490780361
nac_ntrc__bw_delnac_nh4__2,0.3696279502,8.6185627603
misc__wt_no_te__1,-13.2469471966,7.6316391447
misc__wt_no_te__2,-4.7331208071,8.2148515007
misc__bw_delcbl__1,0.3700411963,9.0372686976
