,Value,list
TF,argR,
reg_genes,122,"['mukB' 'yahA' 'damX' 'aroP' 'hisF' 'mukE' 'atpG' 'hisB' 'astE' 'atpD'
 'dam' 'rpe' 'dacC' 'folM' 'astD' 'hisD' 'eutD' 'atpH' 'ypfN' 'pyrB'
 'stpA' 'gltB' 'gltF' 'atpE' 'waaP' 'gltD' 'potF' 'pyrI' 'ydgI' 'eutT'
 'ftsZ' 'pnp' 'potH' 'phnN' 'ycbV' 'phnO' 'atpB' 'artP' 'phnP' 'pfkB'
 'mreB' 'ydeN' 'gph' 'yeaJ' 'waaY' 'aroK' 'hisQ' 'yffL' 'dapE' 'atpC'
 'atpF' 'yaaU' 'hisC' 'truB' 'galS' 'purF' 'puuE' 'yqaE' 'infB' 'waaQ'
 'hisA' 'plsC' 'dps' 'rimP' 'astB' 'ykgA' 'hisG' 'hisH' 'potG' 'argR'
 'ybjE' 'yfcC' 'hisP' 'hchA' 'trpS' 'glmM' 'yffB' 'hisM' 'gltP' 'pyrL'
 'puuB' 'hcaT' 'narL' 'hisJ' 'mreD' 'cvpA' 'eutM' 'atpA' 'potI' 'atpI'
 'waaB' 'astA' 'ycbU' 'aroB' 'rpsO' 'eutP' 'astC' 'artQ' 'carB' 'waaG'
 'rbfA' 'ubiX' 'yraQ' 'artI' 'ycbF' 'eutQ' 'nusA' 'hisI' 'mreC' 'artM']"
comp_genes,13,['yagI']
both_genes,12,"['dtpD' 'argC' 'carA' 'argA' 'argH' 'argE' 'artJ' 'argI' 'argD' 'argB'
 'argG' 'argF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,54,
comp_ops,11,
both_ops,10,
