,hdeB
Cr_1,0.009839919439353995
Cr_2,0.017738790739251022
Cr_3,0.027929352121372573
Cr_4,0.03944166295579588
Cr_5,0.04568793105959407
Cr_6,0.04364940964373418
Fe_1,-0.0027832968425392274
Fe_2,-0.02543479987355301
Fe_3,-0.06170429946953405
Fe_4,-0.11842908717362845
Fe_5,-0.16840362689034172
Fe_6,-0.21174740429720665
Cd_1,0.008654097723707538
Cd_2,0.01800456171831517
Cd_3,0.0260511258199998
Cd_4,0.03101507574460991
Cd_5,0.03168028790655335
Cd_6,0.03871397987129552
Zn_1,0.0011858195375900355
Zn_2,-0.002549779208543838
Zn_3,-0.0006286279470363816
Zn_4,0.0037275437279906533
Zn_5,0.008250012334321962
Zn_6,0.007879878452324948
Cu_1,0.006557496878723011
Cu_2,0.015063579678770063
Cu_3,0.02331728543733293
Cu_4,0.0299888739438508
Cu_5,0.04091183450409285
Cu_6,0.05054144784030787
Pb_1,0.002663520643558976
Pb_2,0.006325127148035162
Pb_3,0.008029417252457312
Pb_4,0.013028584616484916
Pb_5,0.019267603221862616
Pb_6,0.03343346718025346
