,mglB
Cr_1,-0.012874237253738556
Cr_2,-0.0209346322576425
Cr_3,-0.01646876348475016
Cr_4,-0.02044600924427374
Cr_5,-0.018381904813198686
Cr_6,-0.016896513121415553
Fe_1,-0.023304093416930037
Fe_2,-0.007556578207870861
Fe_3,0.009438684134958951
Fe_4,0.0050632560155524035
Fe_5,-0.004194188615654089
Fe_6,-0.020638560623838613
Cd_1,0.0014884544998521106
Cd_2,0.014730544347799041
Cd_3,0.030748557003141587
Cd_4,0.04331951784179845
Cd_5,0.04498438238156397
Cd_6,0.041847142307334426
Zn_1,-0.024210743839979215
Zn_2,-0.038601304482056766
Zn_3,-0.02124294738787852
Zn_4,0.07492202912077134
Zn_5,0.2595151412550292
Zn_6,0.6695342695991616
Cu_1,0.012176274577704793
Cu_2,0.015342060546724485
Cu_3,0.033429723232963754
Cu_4,0.0544735333835459
Cu_5,0.07644566962851616
Cu_6,0.10158034903077087
Pb_1,-0.011477212436189654
Pb_2,0.013616642521090246
Pb_3,0.054998993538693
Pb_4,0.0833813118903765
Pb_5,0.10205961381933422
Pb_6,0.13289714644308884
