,yjfK
Cr_1,0.0013487676183494498
Cr_2,0.002663274939481834
Cr_3,0.0025978651835241173
Cr_4,-0.0006646830429322102
Cr_5,-0.002998829780680593
Cr_6,-0.008733045796890155
Fe_1,-0.011999939499079862
Fe_2,-0.036729962101210885
Fe_3,-0.060918221311558426
Fe_4,-0.08194324136749473
Fe_5,-0.09312045275261777
Fe_6,-0.10446031958753813
Cd_1,0.0037237369340185436
Cd_2,0.0077262624180386985
Cd_3,0.011394523301293641
Cd_4,0.016768008609066014
Cd_5,0.01843017761633506
Cd_6,0.025178466906898726
Zn_1,-0.004840073783015991
Zn_2,-0.01263562152336456
Zn_3,-0.012342783262389741
Zn_4,-0.005672136144036892
Zn_5,-0.0008312949372856238
Zn_6,-2.7770054211124007e-05
Cu_1,0.00399858024313165
Cu_2,0.007678607792800785
Cu_3,0.010782941427916677
Cu_4,0.012180875241769423
Cu_5,0.018770386250904856
Cu_6,0.02701498670878285
Pb_1,0.006946727027918646
Pb_2,0.0145572696621152
Pb_3,0.028421885828059743
Pb_4,0.03789994104767417
Pb_5,0.04762111807898997
Pb_6,0.05669217677146528
