,pgk
Cr_1,-0.0006648378361400655
Cr_2,0.012981258206410023
Cr_3,0.013588227856562891
Cr_4,0.011402516607071266
Cr_5,0.018812958687754525
Cr_6,0.030042621104255426
Fe_1,-0.003155871594958197
Fe_2,-0.016131836387960268
Fe_3,-0.027527163653705927
Fe_4,-0.032125741082635016
Fe_5,-0.03817932792267149
Fe_6,-0.036323492311054785
Cd_1,0.011578857559092926
Cd_2,0.05405290409978991
Cd_3,0.09253943820552203
Cd_4,0.17167248827823806
Cd_5,0.16297700219054853
Cd_6,0.1928257988848524
Zn_1,-0.004861938974348903
Zn_2,-0.01542432094875994
Zn_3,-0.01212295536873254
Zn_4,-0.005727205977973857
Zn_5,-0.004203446116647906
Zn_6,-0.007349705903128858
Cu_1,-0.0021458366260237085
Cu_2,-0.010317751660274864
Cu_3,-0.016591363800810947
Cu_4,-0.020516529391360568
Cu_5,-0.03673132406937375
Cu_6,-0.05385123154123112
Pb_1,0.003793276544336373
Pb_2,0.011283826126651571
Pb_3,0.017951260991831332
Pb_4,0.019300155515002863
Pb_5,0.024895705675792218
Pb_6,0.03271442256014774
