,agaR
Cr_1,0.0051306716502092856
Cr_2,0.009952166097732595
Cr_3,0.00951271608926884
Cr_4,-0.011815456795884244
Cr_5,-0.02457593100956859
Cr_6,-0.03344778934482028
Fe_1,-0.04045463564896118
Fe_2,-0.0948757643397783
Fe_3,-0.1143734111552938
Fe_4,-0.11097296653745577
Fe_5,-0.08756801540117838
Fe_6,-0.05955603406441716
Cd_1,0.00808493242472238
Cd_2,0.014805997164686013
Cd_3,0.022716998899551515
Cd_4,0.03105407216506262
Cd_5,0.025411309567233774
Cd_6,0.027317483218099396
Zn_1,-0.029184958534858887
Zn_2,-0.03862541077047362
Zn_3,-0.04446000322789777
Zn_4,-0.03783454520925797
Zn_5,-0.03319206537303654
Zn_6,-0.03131967018834851
Cu_1,0.007812273412900905
Cu_2,0.01516768389608039
Cu_3,0.0203826504317028
Cu_4,0.021867957963606112
Cu_5,0.02838223966100905
Cu_6,0.03880995651799006
Pb_1,0.0013013667470846927
Pb_2,0.008545390524638562
Pb_3,0.02404619046065268
Pb_4,0.040614149743387284
Pb_5,0.052589401819476786
Pb_6,0.07524389353186098
