,A,Crp
R2,,0.024204090668678235
xmin,,-9.852476477
xmid,,-3.646150895230308
xmax,,1.6003325529999994
ystart,,-4.027780648926384
yend,,6.562237107840877
control__wt_glc__1,0.1337124249956712,0.012478645999999928
control__wt_glc__2,-0.1337124249957011,-0.012478645999999928
fur__wt_dpd__1,-1.8015384086565915,0.07757413100000042
fur__wt_dpd__2,-1.7892362112856848,-0.0906821709999992
fur__wt_fe__1,-1.2775172587793842,-0.030513672999999738
fur__wt_fe__2,-0.7478879055087995,0.0581907200000007
fur__delfur_dpd__1,-1.3890237625107975,-0.10598198399999957
fur__delfur_dpd__2,-1.814665339688298,-0.22346684100000047
fur__delfur_fe2__1,-0.3124639835525359,0.4364299129999996
fur__delfur_fe2__2,-0.1555397485803945,0.36756339300000107
acid__wt_ph5__1,-1.736420710865999,0.3455225730000002
acid__wt_ph5__2,-1.6174929572267482,0.34313646300000045
acid__delgadx_ph5__2,-1.7188392232711107,0.3393877130000007
acid__delgadw_ph5__1,-1.0947754597554655,0.3838637929999997
acid__delgadw_ph5__2,-0.953591259571145,0.3398617829999999
acid__delgade_ph5__1,-1.0704191597412342,0.432408723
acid__delgade_ph5__2,-1.408179319800905,0.4824361929999999
oxidative__wt_pq__1,-0.7170491946431273,0.17662370300000066
oxidative__wt_pq__2,-0.6905593293776066,0.24038529300000103
oxidative__deloxyr_pq__1,-2.088528062421668,0.5131550130000004
oxidative__deloxyr_pq__2,-1.8221364116839256,0.5363373029999998
oxidative__delsoxr_pq__1,-0.9633660574131508,0.3346725330000009
oxidative__delsoxr_pq__2,-0.8280565713140987,0.3870598730000001
oxidative__delsoxs_pq__1,-0.3389319055140729,0.5134629630000003
oxidative__delsoxs_pq__2,0.1660047751214597,0.5104807529999995
nac_ntrc__wt_csn__1,-0.1253303712039672,-0.0727968299999997
nac_ntrc__wt_csn__2,-0.2029831966525798,-0.09324395099999984
nac_ntrc__wt_cytd__1,-1.2547859492528053,-0.043119613
nac_ntrc__wt_cytd__2,-0.6660257938507176,-0.07348926000000056
nac_ntrc__wt_gln__1,-0.5837206342810248,0.16383650300000066
nac_ntrc__wt_gln__2,-0.0164826260535799,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,-0.0760876736934832,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,-1.310525739798703,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,-1.129066319975389,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,-1.5883324719477614,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,-0.5219475371915642,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,-0.5579393522819022,0.563775123000001
nac_ntrc__bw_delnac_nh4__1,-0.5892987860781461,0.3391651030000009
nac_ntrc__bw_delnac_nh4__2,-1.0810650508073598,0.3602350630000011
misc__wt_no_te__1,-1.5351340401449602,0.3221691629999999
misc__wt_no_te__2,-1.5513798431969743,0.3159875930000009
misc__bw_delcbl__1,-1.6182236589468102,0.30577407300000026
misc__bw_delcbl__2,-0.8284565551578191,0.3225694130000001
misc__bw_delfabr__1,-2.035615442164656,0.1944652930000004
