,phnC
Cr_1,-0.0030166676135112017
Cr_2,-0.002396809570830607
Cr_3,-0.004107268326556001
Cr_4,-0.0021909240679148434
Cr_5,0.005885741962520271
Cr_6,0.00611942857646063
Fe_1,-0.0019420866596770645
Fe_2,0.1819437262442099
Fe_3,0.5136081730729731
Fe_4,0.8292259733402834
Fe_5,1.1096809286019549
Fe_6,1.334054903548218
Cd_1,-0.003990898837345072
Cd_2,-0.003540491286801728
Cd_3,-0.004618065402243438
Cd_4,-0.003039978733662093
Cd_5,-0.005200908533585501
Cd_6,-0.01026693023269323
Zn_1,-0.004520839655192415
Zn_2,0.08030505416908991
Zn_3,0.1361997968192529
Zn_4,0.12054457859221218
Zn_5,0.09713080494931337
Zn_6,0.08079796395854368
Cu_1,0.015096736780759776
Cu_2,0.05415780811224583
Cu_3,0.09455556232893016
Cu_4,0.12178508492063565
Cu_5,0.14479391171574318
Cu_6,0.1611143379407083
Pb_1,0.004344710906088217
Pb_2,0.01727349060634408
Pb_3,0.031216826765284218
Pb_4,0.04212809458369381
Pb_5,0.046211641991571434
Pb_6,0.05511155165947874
