locus,gene_weight,gene_name,gene_product,cog,regulator,TPP,link
STM4161,0.2569897544,STM4161,putative protein involved in thiamine biosynthesis,Coenzyme transport and metabolism,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4161
STM4160,0.2524193306,thiG,thiamine biosynthesis protein%2C thiazole moiety,Coenzyme transport and metabolism,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4160
STM4163,0.2515673712,thiE,thiamine phosphate synthase,Coenzyme transport and metabolism,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4163
STM4162,0.2492196999,thiF,thiamine biosynthesis protein%2C thiazole moiety,Coenzyme transport and metabolism,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4162
STM4164,0.2410108433,thiC,5'-phosphoryl-5-aminoimidazole,Coenzyme transport and metabolism,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4164
STM4159,0.2262825313,thiH,thiamine biosynthesis protein%2C thiazole moiety,Energy production and conversion,"TPP,arcA",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4159
STM2146,0.1563955504,thiD,hydroxy-phosphomethylpyrimidine kinase (HMP-P kinase),Coenzyme transport and metabolism,"TPP,yeiE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2146
STM2147,0.1378266302,thiM,hydoxyethylthiazole kinase (THZ kinase),Coenzyme transport and metabolism,TPP,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2147
STM0797,0.11060941660000001,bioD,dethiobiotin synthetase,Coenzyme transport and metabolism,"birA,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0797
STM0796,0.11031121470000001,bioC,biotin biosynthesis%3B reaction prior to pimeloyl CoA,Coenzyme transport and metabolism,"birA,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0796
STM0795,0.0945912321,bioF,7-keto-8-aminopelargonic acid synthetase,Coenzyme transport and metabolism,"birA,rpoD",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0795
