,smpA
Cr_1,0.00028857655445806575
Cr_2,0.001853817519323094
Cr_3,0.0016922006847901005
Cr_4,0.002569183345758839
Cr_5,0.0020013753126699478
Cr_6,-0.0029781326277101834
Fe_1,-0.005018962130167132
Fe_2,-0.02061425732558345
Fe_3,-0.04125531291221174
Fe_4,-0.0657503908009868
Fe_5,-0.08067029546340856
Fe_6,-0.08447493871611828
Cd_1,0.0018752600655384398
Cd_2,0.0040011836556667095
Cd_3,0.005262315968844271
Cd_4,0.005063146781624036
Cd_5,0.00041924460172425266
Cd_6,0.004265729682055203
Zn_1,-0.00486748918726724
Zn_2,-0.012375790066333771
Zn_3,-0.006083320663914578
Zn_4,0.0045417016510912326
Zn_5,0.016951095211542658
Zn_6,0.02491526461271321
Cu_1,0.0037130090710631057
Cu_2,0.013734508210696631
Cu_3,0.020539978325550236
Cu_4,0.0238686017838681
Cu_5,0.03060308567335591
Cu_6,0.04178352645216414
Pb_1,0.0039011047562741773
Pb_2,0.00789963639325144
Pb_3,0.016633825740973184
Pb_4,0.028648302960098758
Pb_5,0.04487842170344507
Pb_6,0.06197626846159812
