,ygeF
Cr_1,-0.006232411367898834
Cr_2,-0.008795093954595195
Cr_3,-0.007622739510929069
Cr_4,-0.005169603328156181
Cr_5,0.0012456977527451547
Cr_6,0.013142762381224018
Fe_1,-0.007252702086601738
Fe_2,-0.027501324396400517
Fe_3,-0.0464149971339615
Fe_4,-0.060590146565446326
Fe_5,-0.07294503486329762
Fe_6,-0.09065298668283628
Cd_1,-0.0011362225270036945
Cd_2,0.00047791271402713585
Cd_3,0.00016278991612506997
Cd_4,0.0005490362669267079
Cd_5,-0.003327547188887589
Cd_6,-0.0009529040772825349
Zn_1,0.012319150804557607
Zn_2,0.03083691886160398
Zn_3,0.055850499560718615
Zn_4,0.08394832942577332
Zn_5,0.11033527905537924
Zn_6,0.14236679039545672
Cu_1,-0.0014540618588732494
Cu_2,-0.002763111352611785
Cu_3,-0.01131273660468576
Cu_4,-0.013738003645191059
Cu_5,-0.015300947547625956
Cu_6,-0.008927957073008901
Pb_1,-0.008060091461472022
Pb_2,-0.018412425082743548
Pb_3,-0.01551824631501482
Pb_4,-0.019666120987087782
Pb_5,-0.029365058378389982
Pb_6,-0.029629345402175523
