,yniA
Cr_1,-0.015327544819963774
Cr_2,-0.02356402076060199
Cr_3,-0.017557299107074816
Cr_4,-0.007228685826402435
Cr_5,-0.008480775996726041
Cr_6,-0.015363637221554762
Fe_1,-0.05311413645863858
Fe_2,-0.1078493737817943
Fe_3,-0.17804226284571875
Fe_4,-0.2321460047351101
Fe_5,-0.2439297046448545
Fe_6,-0.2575469623685178
Cd_1,0.0030442644944332067
Cd_2,0.0053306724292254476
Cd_3,0.011302620386290502
Cd_4,0.015182181439929618
Cd_5,0.010756964007408495
Cd_6,0.01609575609998004
Zn_1,0.03892301191743396
Zn_2,0.08589251674941584
Zn_3,0.1190484872805513
Zn_4,0.1550434314996595
Zn_5,0.17357565919664272
Zn_6,0.21059828848122966
Cu_1,0.005961279631901796
Cu_2,0.014999416246222478
Cu_3,0.03321136368334352
Cu_4,0.04895098106562404
Cu_5,0.06857479140752039
Cu_6,0.08599282785143529
Pb_1,-0.0024544326643407355
Pb_2,0.0018717964978236254
Pb_3,0.023203370271161386
Pb_4,0.03742117859275796
Pb_5,0.05797465433185445
Pb_6,0.07070780655736769
