,-0.17750781967732557,-0.15214955972342192,-0.12679129976951828,-0.10143303981561463,-0.07607477986171099,-0.050716519907807345,-0.0253582599539037,-5.551115123125783e-17,0.02535825995390359,0.050716519907807234,0.07607477986171088,0.10143303981561455,0.12679129976951817,0.15214955972342178,0.17750781967732546,0.20286607963122913,0.22822433958513275,0.2535825995390364,0.27894085949294,0.30429911944684374
thresh,-0.11411216979256644,0.11411216979256644,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,1,4,23,525,2807,488,25,5,3,1,0,1,0,1,0,1,0
unreg_genes,['araC'],[],[],[],[],[],[],[],[],[],[],[],['ppdC'],[],['ppdB'],[],['yabI'],[],['ppdA'],[]
