,aroF
Cr_1,-0.0049476710206931935
Cr_2,0.0024557110519066853
Cr_3,0.020273472312138024
Cr_4,0.029619952690336033
Cr_5,0.028986077876822305
Cr_6,0.017281414886738136
Fe_1,-0.01904017604086387
Fe_2,-0.06657674765608393
Fe_3,-0.10481397255278738
Fe_4,-0.12432467857728068
Fe_5,-0.1276788931949033
Fe_6,-0.11746485554535545
Cd_1,-0.007434168312529865
Cd_2,-0.016013005496489176
Cd_3,-0.019851097848953416
Cd_4,-0.021744894426465888
Cd_5,-0.0214258595886716
Cd_6,-0.01404005586009689
Zn_1,0.00366336789917964
Zn_2,0.010578428152233943
Zn_3,0.04559975190381891
Zn_4,0.12117467250633768
Zn_5,0.2110535916893045
Zn_6,0.2966671241520037
Cu_1,0.0027145055841262247
Cu_2,0.006423314341334752
Cu_3,0.02396280292329208
Cu_4,0.04155299760548255
Cu_5,0.05644449526838419
Cu_6,0.07686897306045394
Pb_1,0.0030206299887464475
Pb_2,0.00737699188431235
Pb_3,0.015268600730980804
Pb_4,0.027829822080460705
Pb_5,0.041903820657718915
Pb_6,0.055155768070627866
