,A,VanR
R2,,0.01763844491135358
xmin,,-3.31569441525
xmid,,
xmax,,1.8303539399999995
ystart,,2.2861934750527193
yend,,-1.4957642628966124
ALE:GalactoseA5:1.0,-1.3516586295000803,1.79290881775
ALE:GalactoseA5:2.0,-0.9551130627952366,1.7125639547500002
ALE:GalactoseA6:1.0,-0.4868490688326101,1.1235613527500004
ALE:GalactoseA6:2.0,-0.2854464172381623,1.17873241575
ALE:GalactoseA8:1.0,-0.5770906135180455,1.4041880237500006
ALE:GalactoseA8:2.0,-1.0013057795127769,0.96174104375
ALE:IL_Control:1.0,-0.1446874598139944,-0.0781208622499995
ALE:IL_Control:2.0,1.2163217236732449,0.1596706917500006
ALE:IL_Control:3.0,-0.0189945530345693,0.0433940007500002
ALE:IL_Control:4.0,-1.052639708246628,-0.1249438302499994
ALE:IL_TEOH_OAc:1.0,1.465127020810913,0.93668822475
ALE:IL_TEOH_OAc:2.0,-0.7333794284419416,0.30861689375
ALE:IL_TEA_HS:1.0,1.1287681780120635,0.47856521875
ALE:IL_TEA_HS:2.0,0.802038780825137,0.34725772075
ALE:IL_Mixed:1.0,-1.8085315381766007,0.6373394567500004
ALE:IL_Mixed:2.0,-1.972858421921441,0.5763131647500002
ALE:IL_PP5350:1.0,-0.8969192962507045,-0.4975212502500001
ALE:IL_PP5350:2.0,-0.9735050554913732,-0.5837589162499999
ALE:IL_T8:1.0,-1.443181306902363,-0.0503102642499992
ALE:IL_T8:2.0,-1.0570391751088852,-0.1127208952499998
ALE:IL_T9:1.0,-1.120365838985027,0.1386591467500002
ALE:IL_T9:2.0,-1.6551055502873395,0.3485713677499999
ALE:IL_Control2:1.0,-0.6781875474163335,0.5143042317500006
ALE:IL_Control2:2.0,-0.6106443072289371,0.0595869377500006
ALE:IL_Glc+Ace:1.0,-1.186413677176811,0.0286424517500005
ALE:IL_Glc+Ace:2.0,-1.2181661588520805,0.1726379507500004
ALE:XyloseA1:1.0,0.0275788762319586,0.8554097757500001
ALE:XyloseA1:2.0,0.5270076784688429,1.2047647057500006
ALE:XyloseA2:1.0,-1.623558486173888,1.3396456587500003
ALE:XyloseA2:2.0,-1.8007947046586572,1.2829172187500006
ALE:XyloseA3:1.0,-2.495599017786111,1.4774451927500003
ALE:XyloseA3:2.0,-2.186370755947906,1.49181134175
ALE:XyloseA4:1.0,-1.70139081372796,0.96471922875
ALE:XyloseA4:2.0,-1.5888422302238194,1.0590425047499998
Aromatic:Coumarate:1.0,-6.986865592135539,0.7805248323333327
Aromatic:Coumarate:2.0,-9.42644046296191,0.2242347003333327
Aromatic:Coumarate:3.0,-10.465037047281736,0.2635341833333324
Aromatic:Coumarate+ferulate:1.0,12.058366941256624,0.4171499453333327
Aromatic:Coumarate+ferulate:2.0,12.695121047793329,0.2971341833333332
Aromatic:Coumarate+ferulate:3.0,11.735250580223148,0.165232215333333
Aromatic:Ferulate:1.0,11.87273701750077,1.2058664183333327
Aromatic:Ferulate:2.0,12.796308640065469,1.2626670273333325
Aromatic:Ferulate:3.0,11.89030678363713,1.2779265613333326
Aromatic:Glucose:1.0,-0.2102651737090767,0.0276728553333329
Aromatic:Glucose:2.0,0.4026596599571402,-0.1376738036666669
Aromatic:Glucose:3.0,-0.1923944873463595,0.110000948333333
Bioreactor1:24h:1.0,-0.4833104376193813,0.1322621709999998
Bioreactor1:24h:2.0,0.4833104380904062,-0.1322621710000007
Bioreactor2:S_0min:1.0,-0.0895293394824533,-0.1150964710000002
Bioreactor2:S_15min:1.0,1.473520646136664,-0.0707990850000008
Bioreactor2:P1_15min:1.0,0.8936281920514599,0.077865749999999
Bioreactor2:P3_15min:1.0,1.0578132789144938,-0.0772942530000007
Bioreactor2:P5_15min:1.0,0.8080136165490234,-0.5715260950000007
Bioreactor2:S_1h:1.0,1.287457336751698,0.0425818219999998
Bioreactor2:S_3h:1.0,0.5991982778878122,0.4189202859999996
Bioreactor2:S_9h:1.0,-0.5789302130946047,0.2155733269999995
Bioreactor2:S_25h:1.0,0.5490425029612456,0.0515536789999995
Bioreactor2:P1_25h:1.0,-0.0860408828117463,-0.2555408650000004
Bioreactor2:P3_25h:1.0,0.4916684173642264,-0.0596013090000004
Bioreactor2:P5_25h:1.0,0.4516136806643237,-0.2948667070000006
Bioreactor2:S_0min:2.0,0.3879031162220075,0.4898188099999991
