,yrfF
Cr_1,0.002243745263138737
Cr_2,0.010098125358773672
Cr_3,0.02042241181947457
Cr_4,0.03149923392530938
Cr_5,0.041522972502494385
Cr_6,0.05080779166945346
Fe_1,-0.0031409225799775824
Fe_2,0.0004055390637476209
Fe_3,0.008865154561991249
Fe_4,0.01614664307337663
Fe_5,0.023204715728389537
Fe_6,0.02329418252903917
Cd_1,0.0017104471151202965
Cd_2,0.0034350123461108
Cd_3,0.005307040259554579
Cd_4,0.007451485172867084
Cd_5,0.003426350919028685
Cd_6,0.002846079488648898
Zn_1,0.0016660533425711314
Zn_2,0.009622552245890452
Zn_3,0.023436477534702342
Zn_4,0.034387385077220896
Zn_5,0.04227972044890767
Zn_6,0.040688057977775895
Cu_1,0.005361149241887206
Cu_2,0.01220916699985745
Cu_3,0.016034537786652533
Cu_4,0.01605577767281119
Cu_5,0.013662747516268631
Cu_6,0.008480362139386393
Pb_1,0.006930956411488233
Pb_2,0.013574719352853402
Pb_3,0.02334808602790888
Pb_4,0.03318960586093776
Pb_5,0.04412916925380996
Pb_6,0.05498191645495318
