,A,GlpR
R2,,0.008153853450033166
xmin,,-3.687042556
xmid,,
xmax,,0.9237816860000001
ystart,,0.05520936146343591
yend,,-1.1835841564238185
control__wt_glc__1,-0.3745989974,-0.100354306
control__wt_glc__2,0.3745989974,0.100354306
fur__wt_dpd__1,0.11387362300000001,-0.16257268200000002
fur__wt_dpd__2,0.0200022452,-0.13512164200000001
fur__wt_fe__1,-0.13098351260000002,-0.342373384
fur__wt_fe__2,-0.3617740172,-0.323600722
fur__delfur_dpd__1,0.0070512534000000005,-0.279939388
fur__delfur_dpd__2,0.2112936013,-0.45745707100000005
fur__delfur_fe2__1,-0.77282063,-0.025440178
fur__delfur_fe2__2,-0.5335646456,-0.21811381400000002
acid__wt_ph5__1,0.2585337011,-0.195698755
acid__wt_ph5__2,0.45514042320000003,-0.186461643
acid__delgadx_ph5__2,0.3766285458,-0.13421169300000002
acid__delgadw_ph5__1,0.3370177467,-0.125375403
acid__delgadw_ph5__2,0.2724007958,-0.153365612
acid__delgade_ph5__1,0.30284453040000003,-0.257427578
acid__delgade_ph5__2,0.3718689216,-0.100609403
oxidative__wt_pq__1,-0.0223901238,-0.9765262170000001
oxidative__wt_pq__2,-0.3521128517,-0.9646141690000001
oxidative__deloxyr_pq__1,-0.7305303,-0.38811414800000005
oxidative__deloxyr_pq__2,0.024014734200000002,-0.384833307
oxidative__delsoxr_pq__1,0.48775234110000004,-0.9846600430000001
oxidative__delsoxr_pq__2,0.5080309204,-0.9532042180000001
oxidative__delsoxs_pq__1,0.5960863427,-0.873545557
oxidative__delsoxs_pq__2,0.1824989504,-1.019754785
nac_ntrc__wt_csn__1,-1.1845615486,0.17289005600000001
nac_ntrc__wt_csn__2,-1.2114222462,0.036032412
nac_ntrc__wt_cytd__1,-0.1057046512,0.041062558000000006
nac_ntrc__wt_cytd__2,-0.14673338190000002,0.160920601
nac_ntrc__wt_gln__1,-0.7614852172000001,0.21143540800000002
nac_ntrc__wt_gln__2,-0.6562552005,0.353498122
nac_ntrc__bw_delnac_csn__1,0.7353461869,0.0006520390000000001
nac_ntrc__bw_delnac_csn__2,1.2788678359,0.42422752700000005
nac_ntrc__bw_delnac_cytd__1,0.1583844365,0.194407402
nac_ntrc__bw_delnac_cytd__2,0.42840675650000004,0.142367339
nac_ntrc__bw_delnac_gln__1,0.8367803083,0.173651935
nac_ntrc__bw_delnac_gln__2,0.9379060608,0.08538263
nac_ntrc__bw_delnac_nh4__1,-0.430844355,-0.19584968700000002
nac_ntrc__bw_delnac_nh4__2,-0.11294996680000001,-0.204818633
misc__wt_no_te__1,-0.1461943179,-0.607946223
misc__wt_no_te__2,0.4962513591,-0.529475386
misc__bw_delcbl__1,-0.3588050539,-0.24112424100000002
misc__bw_delcbl__2,-0.029014385400000002,-0.321669192
misc__bw_delfabr__1,0.0314229097,-0.214181054
misc__bw_delfabr__2,-0.0054415165,-0.349232509
misc__bw_delfadr__1,0.305058521,-0.324261766
misc__bw_delfadr__2,0.6610365263,-0.30484339
misc__nitr_031__1,0.18030208050000002,-0.30437505
omics__wt_glu__1,0.6337188215,0.87576741
omics__wt_glu__2,0.7809104383000001,0.9237816860000001
omics__wt_gly__1,0.4220364784,0.6397033870000001
omics__wt_gly__2,0.6476754036,0.501145754
omics__wt_thr__1,0.7376968580000001,0.450324486
omics__wt_thr__2,0.5815093359,0.494775936
omics__bw_ac__1,-4.1608561081,-0.515994202
omics__bw_ac__2,-4.7646129282,-0.25412660800000003
omics__bw_fum__1,-3.201217362,-0.15908139999999998
omics__bw_fum__2,-3.4878520781,-0.099008547
omics__bw_glc__1,0.12131028760000001,0.15384187400000002
omics__bw_glc__2,0.29487623420000003,0.19605686600000002
omics__bw_pyr__1,-3.4832101063,-0.0024717050000000003
omics__bw_pyr__2,-4.3789803284,-0.100565843
ompr__wt_nacl__1,0.4590527123,-1.455250091
ompr__wt_nacl__2,0.2958098011,-1.066998654
ompr__bw_delompr_nacl__1,-0.2565841136,-0.798443832
ompr__bw_delompr_nacl__2,-0.6926371010000001,-0.770335168
minspan__wt_ade__1,-2.2574659546999998,-0.568540516
minspan__wt_glc__2,-1.1008797474,-0.499827232
minspan__wt_glc__3,-1.5501447788,-0.6435946180000001
minspan__wt_glc__4,-0.9341536337,-0.45029472400000004
minspan__wt_glc_anaero__1,-2.3358341252,-0.5801846390000001
minspan__wt_glc_anaero__2,-3.3819998593,-0.47663460900000004
minspan__wt_trp__1,-4.9509641209,-1.529538632
minspan__bw_delcra_glc__2,-3.2464338989,-0.594793196
minspan__bw_delcra_trp__1,-3.7975354946,-0.954049867
minspan__bw_delmntr__1,-2.5293962567,-0.6952550510000001
minspan__bw_delnac_ade__1,-1.1230313597000001,-1.114079412
minspan__bw_delnac_glc__1,-1.1556433835,-0.26882521
cra_crp__wt_ac__1,-2.549998214,0.19324395600000002
cra_crp__wt_ac__2,-2.4145477466,0.41276663500000005
cra_crp__wt_fru__1,-1.9697581176,0.720462797
cra_crp__wt_fru__2,-2.0646688363,0.45767866
cra_crp__delcra_ac__1,-3.359767777,-0.520263753
cra_crp__delcra_ac__2,-3.4652462509,-0.5044306080000001
cra_crp__delcra_fru__1,1.0524252868,-0.071384391
cra_crp__delcra_fru__2,0.7728337464,-0.297101583
cra_crp__delcra_glc__1,1.0987718979,-0.34958757500000004
cra_crp__delcra_glc__2,0.8416309658000001,-0.338473421
rpoB__wt_031__1,-3.9323797322000003,-0.664758124
rpoB__wt_044__1,-0.7108248146,-0.023047274000000003
rpoB__wt_lb__1,-3.0130094994,-0.5944311800000001
rpoB__wt_lb__2,-3.4845228456,-0.8559365670000001
rpoB__rpoBE546V_031__1,-3.7195830143,-0.23232565300000002
rpoB__rpoBE546V_044__1,-4.056974535,-0.30995859800000003
rpoB__rpoBE546V_lb__1,-4.1974432266,-0.27914408300000004
rpoB__rpoBE546V_lb__2,-3.3042530719,-0.284847497
rpoB__rpoBE546V_glc__1,-1.057843536,-0.28543994
rpoB__rpoBE672K_glc__1,0.0670828053,-0.45289395
rpoB__rpoBE672K_glc__2,-0.4115368672,-0.690227229
rpoB__rpoBE672K_lb__1,-3.9326371781000002,-0.547393711
rpoB__rpoBE672K_lb__2,-3.4525291257,-0.8455406860000001
crp__wt_fru__1,-3.0365379332,-0.521566176
crp__wt_glyc__1,-3.0496239262,-0.34716462400000003
crp__wt_glyc__2,-2.6328764320999998,-0.243036403
crp__delar1_glyc__1,1.5836185068000002,-0.360412954
crp__delar1_glyc__2,3.4609571967,-0.48522769
crp__delar1ar2_glyc__1,-4.1349897316,0.386518448
crp__delar1ar2_glyc__2,-4.2480282745,0.5116414890000001
crp__delar1ar2_glyc__3,-3.5535642132,0.45845357900000006
crp__delar2_glyc__1,5.1366167309,-0.611506222
crp__delar2_glyc__2,4.998989006,-0.600114027
crp__delar2_glyc__3,5.0605925154,-0.365979386
crp__delcrp_fru__1,-7.9660182837,-0.201091599
crp__delcrp_fru__2,-7.8534441812,-0.145725189
crp__delcrp_fru__3,-8.3069214252,-0.093629211
crp__delcrp_glc__1,-8.8451959974,-0.019589274
crp__delcrp_glc__2,-8.5811052401,0.038948896000000004
crp__delcrp_glc__3,-9.4896856536,-0.065491507
crp__delcrp_glyc__1,-8.4048349531,0.07699945700000001
crp__delcrp_glyc__2,-7.6705664217,0.13166809000000002
crp__delcrp_glyc__3,-8.1452763245,0.24154961100000003
glu__glu_ale3__1,1.2313994453000001,-0.46269429700000003
glu__glu_ale4__1,0.0197164614,0.254078315
glu__glu_ale5__1,-1.1268355190000001,-0.143039508
glu__glu_ale6__1,-0.7652255063000001,0.056460994
glu__glu_ale8__1,1.2770214646,-0.018134138
glu__glu_ale9__1,0.0864241635,-0.201080801
glu__glu_ale10__1,1.1528228076,-0.32441258300000003
42c__wt_42c__1,-1.9403949247,-0.15673336100000002
42c__42c_ale1__1,-5.4283996805,-0.6357146060000001
42c__42c_ale2__1,0.15743743770000002,0.257516692
42c__42c_ale3__1,0.8810512977,0.583422408
42c__42c_ale4__1,1.14650424,-0.40042046800000003
42c__42c_ale5__1,0.9223554867,0.098370936
42c__42c_ale6__1,0.7744475735,0.116072088
