,ygiF
Cr_1,-0.004138264679630677
Cr_2,-0.003971414050224781
Cr_3,-6.049722028357961e-05
Cr_4,0.0011769291088547468
Cr_5,-0.0023580270122686275
Cr_6,-0.006358805333162136
Fe_1,-0.027442050821712527
Fe_2,-0.061475624839856836
Fe_3,-0.08748069963779646
Fe_4,-0.11682535397713575
Fe_5,-0.13339470650742388
Fe_6,-0.14103094057843266
Cd_1,0.0013067163861130607
Cd_2,0.002729103836822881
Cd_3,0.0064196939703269965
Cd_4,0.010128840079570446
Cd_5,0.013308205589127979
Cd_6,0.02294007643661336
Zn_1,-0.006476308685015757
Zn_2,0.004558015535871895
Zn_3,0.0010722503834290152
Zn_4,-0.01866413694137459
Zn_5,-0.023342931827687846
Zn_6,-0.03413640328168333
Cu_1,0.0034752632812146463
Cu_2,0.012910401493301969
Cu_3,0.021567350294675176
Cu_4,0.02710797431381237
Cu_5,0.033429014848866484
Cu_6,0.04197777813796416
Pb_1,0.009815821548821735
Pb_2,0.020239830085670384
Pb_3,0.034423317012243784
Pb_4,0.04823811617830468
Pb_5,0.06550509372725273
Pb_6,0.07544867241384086
