,A,CymR
R2,,0.0033527148536373064
xmin,,8.6383
xmid,,
xmax,,14.3084
ystart,,-9.195664891511058
yend,,-4.763879450027963
LBexp_1,-16.6379587623,13.2659
LBexp_2,-15.5176273196,12.7972
LBexp_3,-14.8980717238,12.6529
LBtran_1,-16.6072369418,11.0659
LBtran_2,-16.479676153,11.3571
LBtran_3,-15.1630475953,11.1053
LBstat_1,-14.0373093364,11.8803
LBstat_2,-12.9488368949,11.2421
LBstat_3,-12.2052991419,10.6385
LBGexp_1,-15.6524893025,13.044
LBGexp_2,-13.535538533,13.3408
LBGexp_3,-13.339541474,13.0786
LBGtran_2,-15.1438760667,12.7632
LBGtran_3,-15.5352220958,13.4943
LBGstat_1,-13.9034256652,13.0938
LBGstat_2,-13.2814928836,12.0792
LBGstat_3,-15.2403876372,12.4356
S0_1,-12.3438280133,11.3133
S0_2,-11.9001255509,11.46
S0_3,-12.0173932646,11.4707
S1_1,3.5793725787,11.8809
S1_2,-8.6247710036,12.0534
S1_3,12.2228603787,12.1029
S2_1,-12.270672186,11.7406
S2_2,-12.1252986033,11.2876
S2_3,-11.6174171984,10.8968
S3_1,-14.3322293005,12.2442
S3_2,-8.4127406505,12.3318
S4_1,-11.8727155078,12.4573
S4_2,-10.9922019646,12.0328
S4_3,-11.1638262385,11.8124
S5_1,-10.7721065627,12.1334
S5_2,-10.8380291706,12.26
S5_3,-10.5319463743,12.554
S6_1,-10.4464148238,11.4703
S6_2,-9.5410252392,9.2301
S6_3,-10.7040417258,11.7041
S6/t_1,-9.7491401453,11.471
S6/t_2,-9.2691536773,8.6383
S6_4,-10.3147699336,10.839
S6_5,-11.0483758445,11.4707
S6_6,-12.0273625004,11.7243
S7_4,-11.3021060768,11.5907
S7_5,-10.8208943522,11.4548
S7_6,-10.7735385159,11.476
S8_4,-10.8685073671,10.9546
S8_5,-10.5080862415,10.3216
G135_1,-14.3814317871,13.2624
G135_3,-13.3948243064,11.1957
G150_1,-15.6810920388,12.9804
G150_2,-16.3714468077,13.4677
G150_3,-14.7424848738,13.2757
G180_1,-14.2255380182,13.4113
G180_2,-13.915238268,13.7977
G180_3,-14.4108774802,12.0883
C30_1,-8.8900498161,12.5584
C30_2,-8.5591867638,12.7014
C90_1,-9.1760977907,11.6546
C90_2,-6.9568500015,12.0968
BI_1,-10.9086471875,12.6696
BI_2,-11.3777991964,12.8174
BC_2,-17.1732015383,12.5976
BC/t_1,-15.6000678283,11.7004
BC/t_2,-15.6308598714,12.5751
BC_1,-14.6014109815,11.7239
Sw_1,-14.3205040879,11.3244
Sw_2,-14.3760484016,12.1664
BT_1,8.7548530117,10.3372
BT_2,9.3888896213,9.6432
B36_1,5.6924593672,12.2204
B36_2,6.7363317437,12.1891
B60_1,3.7566241105,12.6052
B60_2,2.219275994,12.6384
M9exp_1,0.18079906580000002,13.0592
M9exp_2,0.0694955668,12.5426
M9exp_3,-0.2502946326,12.5189
M9tran_1,-6.1571761349,12.091
M9tran_2,-5.5100737127,12.1616
M9tran_3,-6.0996932522,12.5456
M9stat_1,-11.5798243118,10.8494
M9stat_2,-11.3391990306,10.8293
M9stat_3,-11.3558095591,10.7918
M+G_1,-2.9651135208,12.1201
M+G_2,-1.7981605196000001,12.405100000000001
M+G_3,-1.7626596611,12.2192
Glu_1,-3.3005312453,13.196
Glu_2,-3.1947779153,12.8181
Glu_3,-2.5529642043000003,12.8897
Fru_1,3.0493174601,12.6096
Fru_2,-5.4718191069,12.8265
Fru_3,-3.0025802832,12.4177
Mal_1,1.1622421539,11.0838
Mal_2,-2.1285678989,11.9191
Mal_3,-0.846787296,12.1143
G+S_2,-9.7906127318,12.2288
G+S_3,-9.7615964395,12.3727
Pyr_1,-9.3851882284,11.6945
Pyr_2,-9.855016085,12.3219
Pyr_3,-9.3130644364,11.9879
Gly_1,1.1353110839,10.7588
Gly_2,2.221809044,11.1607
Gly_3,0.27430610710000003,9.7836
Glucon_1,-4.5841555845,11.888300000000001
Glucon_2,-3.0449929359,12.4017
Glucon_3,-1.7111493153000001,11.2454
aero_1,-2.0824907393,13.1131
aero_2,-2.2409958903,11.8723
aero_3,-4.3904354647,12.6341
nit_1,0.9063863184000001,12.8316
nit_2,4.6797975958,12.9053
nit_3,-1.3154418556,12.5478
ferm_1,-4.4355379168999995,12.439
ferm_2,-7.9512243181,12.6367
ferm_3,-6.828169367,13.3318
T-5.40H_1,-8.3073151321,13.4972
T-4.40H_1,-9.2620853988,13.2214
T-3.40H_1,-10.0993552004,13.0481
T-2.40H_1,-9.7619640898,12.6212
T-1.40H_1,-10.7987996113,12.5358
T-1.10H_1,-10.4615036858,12.5568
T-0.40H_1,-12.9854950069,12.9313
T0.0H_1,-11.3708049402,12.3253
T0.30H_1,-13.7792841266,11.478
T1.0H_1,-14.1810797202,11.4629
T1.30H_1,-13.4591559705,11.23
T2.0H_1,-12.1506929236,11.2155
T2.30H_1,-14.9441978462,12.1204
T3.0H_1,-15.1175578293,11.9909
T3.30H_1,-15.3357599141,12.4245
T4.0H_1,-15.9861568744,12.3694
T5.0H_1,-13.994614586600001,11.8312
HPh_1,-2.4257046069,13.1459
HPh_2,-2.6884943261,12.9043
HPh_3,-3.0918246737,12.8375
LPh_1,-3.4677995319,12.9146
LPh_2,-1.4754190447,13.4056
LPh_3,-0.4845771707,12.9189
LPhT_1,-12.606220349,12.6846
LPhT_2,-12.2421814415,12.4106
LPhT_3,-11.8761138016,12.5822
SMMPr_1,-7.2115270164,12.2768
SMMPr_2,-7.6247978697,12.3985
SMMPr_3,-6.9573178667,12.2515
HiTm_1,-3.8521016442000002,11.792300000000001
HiTm_2,-9.5951241738,12.8543
HiTm_3,3.524998998,12.7277
LoTm_1,-10.6232973255,12.8917
LoTm_2,-10.8673683725,12.3696
LoTm_3,-10.285865615,12.465
HiOs_1,-5.8079331540000005,12.8445
HiOs_2,-6.9497731613,12.3915
HiOs_3,-7.4596668989,12.5644
BMM_1,-1.9732995521,12.6791
BMM_2,-2.1046109521,12.5735
BMM_3,-3.6040939861,12.4229
Heat_1,-11.423750246,13.4689
Heat_2,-11.153794537,13.1321
Heat_3,-11.0217104382,12.5208
Cold_1,-8.3203958136,14.3084
Cold_2,-9.2799232267,13.8455
Cold_3,-8.842817138200001,12.850999999999999
Etha_1,-11.941338316,11.9593
Etha_2,-11.138573257000001,11.2206
Etha_3,-11.6020055509,11.9464
SMM_1,-5.7492514041,12.4612
SMM_2,-6.4842521198,12.423
SMM_3,-6.0573222712,12.4427
Salt_1,-13.4211972076,12.954
Salt_2,-13.7050282864,12.7242
Salt_3,-13.6487009256,12.85
Mt0_1,-14.9571720949,12.9765
Mt0_3,-17.3674924027,13.2525
M0t45_1,-16.4883759719,12.2556
M0t45_2,8.5790100294,12.6723
M0t45_3,-17.8611338549,12.7895
M0t90_1,-11.8231502043,10.5114
M0t90_2,-13.8992738975,12.3896
M0t90_3,-13.9280488186,11.1703
M40t45_1,-14.6876917242,11.819
M40t45_2,-15.3517103561,11.2462
M40t45_3,-18.7659441453,12.8754
M40t90_1,-12.2554257547,10.7271
M40t90_2,-13.9504198325,11.9926
M40t90_3,-14.6884947817,11.3995
dia0_1,-9.1923637948,12.8002
dia0_2,5.9551134655,13.0838
dia0_3,9.1525356137,13.404
dia5_1,9.2718958279,12.1776
dia5_2,10.4523251702,12.7602
dia5_3,11.8720122802,12.927
dia15_1,10.044495016,13.7053
dia15_2,2.3271778580999998,14.0147
dia15_3,-5.2645423497,13.04
Diami_1,6.35483332,11.8392
Diami_2,10.109652737,12.3927
Diami_3,6.1407831193,12.3891
Paraq_1,-15.7975013981,12.7711
Paraq_2,-13.2276301526,13.536200000000001
Paraq_3,-14.9865308975,11.7194
H2O2_1,-17.5131915727,12.9683
H2O2_2,-17.3399177022,13.4284
H2O2_3,-16.7628126271,13.2794
Oxctl_1,-14.0153391189,12.5812
Oxctl_2,-11.9126025444,12.5449
Oxctl_3,-15.2187671989,13.2326
GM-0.1_1,-3.3072360313,12.2347
GM-0.2_1,-3.3001736481,12.1515
GM+5_1,-6.3160294623,12.2798
GM+15_1,-0.6860752902,12.5384
GM+25_1,0.9692488474000001,13.1821
GM+45_1,-1.6961583752,12.9461
GM+60_1,-1.5256236395,12.8897
GM+90_1,0.1006728228,12.9192
GM+120_1,-2.0242922103,11.8072
GM+150_1,-1.7588040813,12.3329
GM-0.1_2,-2.0104613478,12.7937
GM-0.2_2,-2.3840479318,12.9507
GM+5_2,-3.8524665941,12.7563
GM+10_2,1.4932299147,12.5778
GM+15_2,0.1224176899,12.5716
GM+25_2,4.656924071,12.8427
GM+45_2,0.3997507543,11.7929
GM+60_2,-0.5571427217,12.0262
GM+90_2,-0.1025349701,12.6702
GM+150_2,-0.7246954159,12.0584
GM-0.1_3,-3.3862103119,12.6292
GM-0.2_3,-2.9261022536,12.7042
GM+5_3,-6.1541750025,12.9937
GM+10_3,-0.8590965277,11.5719
GM+15_3,1.7331411999,12.3931
GM+25_3,2.2372226985,12.0139
GM+45_3,-0.811412271,12.042300000000001
GM+60_3,-0.2747599341,11.7388
GM+90_3,0.2514164014,12.5242
GM+120_3,-2.0168557533,12.1879
GM+150_3,-1.8062246964000002,12.7441
MG-0.1_1,1.8041013337,12.616
MG+5_1,6.3514031467,12.3578
MG+10_1,6.969367977,13.1969
MG+15_1,1.9386934494,12.2249
MG+25_1,-0.7114781959,12.6857
MG+45_1,0.6725550199,12.3646
MG+120_1,-6.1744190094,11.482
MG+150_1,-2.6596367402,12.6418
MG-0.1_2,2.1818454543,11.7016
MG-0.2_2,2.6193128229,12.3678
MG+5_2,6.8668645142999996,12.4032
MG+10_2,6.8892469451,12.6944
MG+15_2,2.2461279106,13.3419
MG+25_2,-0.6853228412,12.3568
MG+45_2,1.5800492299000002,11.9154
MG+60_2,3.5755154633,12.4745
MG+90_2,1.1504322864,11.9138
MG+120_2,-7.0588607615,12.3736
MG-0.1_3,3.3057471852,13.2143
MG-0.2_3,2.0016537205,12.6651
MG+5_3,4.6955059709,12.2258
MG+10_3,6.1736235526,11.8142
MG+15_3,2.5606162084,12.9634
MG+25_3,1.6063390789,13.073
MG+45_3,3.6336026672,13.2061
MG+60_3,2.2208687825,12.3894
MG+90_3,1.4409339853,12.7854
MG+120_3,-6.0080890705,12.1439
MG+150_3,-2.9229836094,12.6274
