,Value,list
TF,CymR,
reg_genes,49,"['ygaN' 'cmoJ' 'ssuC' 'S310' 'cmoO' 'yetJ' 'ssuA' 'ssuD' 'sndA' 'ssuB'
 'cmoI' 'ytnM' 'tcyN' 'ydbM' 'ribR']"
comp_genes,45,"['yxxB' 'ycgL' 'S93' 'ybgF' 'yxeR' 'cah' 'S490' 'S114' 'yjnA' 'yhcN'
 'luxS']"
both_genes,34,"['S1115' 'yxeO' 'cysP' 'S1033' 'tcyL' 'sat' 'S570' 'mtnN' 'tcyP' 'sirB'
 'mccA' 'tcyK' 'yrhC' 'sndB' 'yrrT' 'S1032' 'snaB' 'ylnD' 'yxeK' 'S569'
 'yxeQ' 'cysC' 'ascR' 'mccB' 'tcyM' 'cysH' 'BSU_misc_RNA_29' 'cysK' 'tcyJ'
 'yxeM' 'yezD' 'snaA' 'yxeN' 'ylnF']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,12,
comp_ops,16,
both_ops,9,
