,BSU_misc_RNA_18
M9exp_1,14.92
M9exp_2,14.5183
M9exp_3,14.3422
M9tran_1,13.6565
M9tran_2,13.3269
M9tran_3,14.1281
M9stat_1,13.7377
M9stat_2,13.6634
M9stat_3,13.5938
MG-0.1_1,14.4975
MG-0.1_2,13.179
MG-0.1_3,15.2762
MG-0.2_2,14.399
MG-0.2_3,14.7362
MG+5_1,16.1913
MG+5_2,15.3386
MG+5_3,15.2299
MG+10_1,15.9757
MG+10_2,15.5011
MG+10_3,14.1354
MG+15_1,14.405
MG+15_2,15.1813
MG+15_3,14.91
MG+25_1,14.2932
MG+25_2,14.3376
MG+25_3,14.519
MG+45_1,15.2625
MG+45_2,13.5117
MG+45_3,14.6476
MG+60_2,14.1951
MG+60_3,14.0379
MG+90_2,13.7825
MG+90_3,14.5607
MG+120_1,12.7432
MG+120_2,14.0479
MG+120_3,13.3348
MG+150_1,13.6936
MG+150_3,14.6099
GM-0.1_1,14.4779
GM-0.1_2,14.5534
GM-0.1_3,15.0716
GM-0.2_1,14.4091
GM-0.2_2,14.5857
GM-0.2_3,14.9049
GM+5_1,13.8533
GM+5_2,14.3164
GM+5_3,14.7601
GM+10_2,14.8115
GM+10_3,13.7036
GM+15_1,14.7095
GM+15_2,15.0373
GM+15_3,15.0139
GM+25_1,15.1454
GM+25_2,15.4076
GM+25_3,15.1407
GM+45_1,15.0538
GM+45_2,13.6241
GM+45_3,13.1708
GM+60_1,14.9042
GM+60_2,13.6625
GM+60_3,14.3481
GM+90_1,14.6575
GM+90_2,14.6815
GM+90_3,14.0627
GM+120_1,13.7683
GM+120_3,13.5696
GM+150_1,14.2276
GM+150_2,13.3475
GM+150_3,14.0041
BT_1,15.5421
BT_2,15.0938
B36_1,16.0994
B36_2,15.8513
B60_1,16.0858
B60_2,16.2221
S0_1,12.5297
S0_2,12.1466
S0_3,12.593
S1_1,13.9545
S1_2,13.9871
S1_3,13.8923
S2_1,14.2051
S2_2,13.8381
S2_3,13.8435
S3_1,14.4758
S3_2,15.0165
S4_1,14.6469
S4_2,14.9519
S4_3,14.7705
S5_1,14.432
S5_2,14.5198
S5_3,14.5331
S6_1,14.3375
S6_2,14.7069
S6_3,14.535
S6/t_1,13.932
S6/t_2,14.3256
S6_4,13.8846
S6_5,14.6611
S6_6,14.6147
S7_4,14.8292
S7_5,14.253
S7_6,14.2079
S8_4,13.9496
S8_5,14.0624
G135_1,9.131
G135_3,9.1224
G150_1,8.7169
G150_2,9.1197
G150_3,8.731
G180_1,8.0125
G180_2,8.1161
G180_3,8.9896
T-5.40H_1,14.3135
T-4.40H_1,14.4451
T-3.40H_1,14.7312
T-2.40H_1,14.0555
T-1.40H_1,13.7579
T-1.10H_1,13.6312
T-0.40H_1,13.7191
T0.0H_1,13.6283
T0.30H_1,13.4768
T1.0H_1,12.8735
T1.30H_1,12.8705
T2.0H_1,12.7538
T2.30H_1,13.282
T3.0H_1,13.4837
T3.30H_1,13.7041
T4.0H_1,13.3126
T5.0H_1,12.9333
LBexp_1,9.6963
LBexp_2,10.708
LBexp_3,10.2851
LBtran_1,12.2811
LBtran_2,11.6267
LBtran_3,11.6966
LBstat_1,12.8062
LBstat_2,12.8239
LBstat_3,12.4938
LBGexp_1,8.082
LBGexp_2,9.4412
LBGexp_3,9.1425
LBGtran_2,9.7657
LBGtran_3,10.8387
LBGstat_1,9.0179
LBGstat_2,8.6448
LBGstat_3,9.4298
Mt0_1,9.8985
Mt0_3,9.2219
M0t45_1,11.2287
M0t45_2,10.5959
M0t45_3,10.5504
M0t90_1,12.3341
M0t90_2,12.8661
M0t90_3,12.9604
M40t45_1,10.7904
M40t45_2,12.3423
M40t45_3,10.7029
M40t90_1,12.2934
M40t90_2,12.6932
M40t90_3,12.8497
dia0_1,9.1699
dia0_2,9.3791
dia0_3,10.2744
dia5_1,11.0206
dia5_2,11.1966
dia5_3,11.0273
dia15_1,10.2101
dia15_2,10.352
dia15_3,9.8583
C30_1,13.0534
C30_2,13.7504
C90_1,14.3403
C90_2,14.3653
SMM_1,14.6334
SMM_2,14.6774
SMM_3,14.5783
Salt_1,13.7497
Salt_2,13.7934
Salt_3,13.2088
M+G_1,13.0459
M+G_2,14.0839
M+G_3,13.7077
Glu_1,14.279000000000002
Glu_2,14.2999
Glu_3,14.5991
Fru_1,14.8663
Fru_2,14.4412
Fru_3,13.4599
Mal_1,13.1632
Mal_2,13.7563
Mal_3,13.1372
G+S_2,14.5534
G+S_3,14.4826
Pyr_1,13.9117
Pyr_2,14.5011
Pyr_3,14.1433
Gly_1,13.7415
Gly_2,14.735
Gly_3,13.3985
Glucon_1,13.3842
Glucon_2,14.0084
Glucon_3,13.0148
BI_1,14.3158
BI_2,14.0342
BC_2,15.7797
BC/t_1,16.4714
BC/t_2,16.3948
BC_1,16.0369
Sw_1,16.487000000000002
Sw_2,16.4485
BMM_1,15.3427
BMM_2,15.3935
BMM_3,14.9964
Heat_1,13.9439
Heat_2,14.1749
Heat_3,13.5924
Cold_1,13.3431
Cold_2,13.1154
Cold_3,11.8826
Etha_1,13.847
Etha_2,12.9849
Etha_3,13.1952
SMMPr_1,13.7045
SMMPr_2,13.627
SMMPr_3,13.7474
HiTm_1,12.7127
HiTm_2,13.6611
HiTm_3,14.6793
LoTm_1,15.3158
LoTm_2,15.2538
LoTm_3,15.0833
HiOs_1,15.4288
HiOs_2,15.4489
HiOs_3,15.5389
Oxctl_1,8.6123
Oxctl_2,9.243
Oxctl_3,9.9204
Diami_1,11.9079
Diami_2,11.2062
Diami_3,10.4378
Paraq_1,9.2588
Paraq_2,10.014
Paraq_3,7.4826
H2O2_1,7.3064
H2O2_2,8.1221
H2O2_3,8.0262
HPh_1,13.7038
HPh_2,12.9703
HPh_3,13.9622
LPh_1,13.1834
LPh_2,13.4304
LPh_3,13.0473
LPhT_1,14.285
LPhT_2,14.3148
LPhT_3,14.2462
aero_1,12.9827
aero_2,12.6547
aero_3,13.035
nit_1,12.9025
nit_2,13.2578
nit_3,12.7034
ferm_1,12.4726
ferm_2,12.6091
ferm_3,13.0948
