,A,AtoC
R2,,0.03778289103697052
xmin,,2.2301684818
xmid,,4.799592613107074
xmax,,7.5289874939
ystart,,1.6741750922718266
yend,,6.230669163293551
control__wt_glc__1,0.25077047140000003,4.0876748571
control__wt_glc__2,-0.25077047140000003,4.2965916924
fur__wt_dpd__1,1.844767473,4.4348321429
fur__wt_dpd__2,2.0550518066,4.2183691856
fur__wt_fe__1,0.2993446199,3.7703747106
fur__wt_fe__2,0.4255016863,3.8471712489
fur__delfur_dpd__1,1.8012171697000001,4.1537196945
fur__delfur_dpd__2,1.7909869506,4.2073187369
fur__delfur_fe2__1,0.9212543882,4.0059202863
fur__delfur_fe2__2,1.4100261875,4.1492921447
acid__wt_ph5__1,1.0742771278,4.0132533479
acid__wt_ph5__2,1.1514163292,4.1256927801
acid__delgadx_ph5__1,-0.1807124438,3.9602896386
acid__delgadx_ph5__2,0.32427206610000003,4.1938206652
acid__delgadw_ph5__1,1.1536809739,4.3724102685
acid__delgadw_ph5__2,0.4627626526,4.0956829798
acid__delgade_ph5__1,1.2588907967,4.0507584989
acid__delgade_ph5__2,1.8804921532,4.1388075134
oxidative__wt_pq__1,6.5879375676,3.401276075
oxidative__wt_pq__2,6.272282523,3.4135896776
oxidative__deloxyr_pq__1,4.6696446024,3.2401096798
oxidative__deloxyr_pq__2,3.9155818748,3.0571631216
oxidative__delsoxr_pq__1,3.9113232929,3.2614610981
oxidative__delsoxr_pq__2,3.7277597461000003,3.4242837104
oxidative__delsoxs_pq__1,4.8840669869,3.4634614397
oxidative__delsoxs_pq__2,4.9547113816,3.452375705
nac_ntrc__wt_csn__1,3.4662394211,4.0824638807
nac_ntrc__wt_csn__2,2.5221783835,3.8814332637
nac_ntrc__wt_cytd__1,3.0024471953,4.1871129414
nac_ntrc__wt_cytd__2,3.906390861,4.1078875085
nac_ntrc__wt_gln__1,5.2220464608,4.5173509658
nac_ntrc__wt_gln__2,5.545651255,4.4251829104
nac_ntrc__bw_delnac_csn__1,5.9516791802,4.405418742
nac_ntrc__bw_delnac_csn__2,5.0248799592,3.7992478482000003
nac_ntrc__bw_delnac_cytd__1,4.7152022545,3.9694184711
nac_ntrc__bw_delnac_cytd__2,5.0709846002,4.0633144374
nac_ntrc__bw_delnac_gln__1,5.7548975744,4.429658051
nac_ntrc__bw_delnac_gln__2,5.1600978601,4.6293471207
nac_ntrc__bw_delnac_nh4__1,-0.19142837940000001,3.4856168043
nac_ntrc__bw_delnac_nh4__2,1.4232117682,3.7567254445
misc__wt_no_te__1,3.1199447848,4.0971996749
misc__wt_no_te__2,1.5474124738000001,3.897947179
misc__bw_delcbl__1,1.5238361927000001,3.9752243161000003
misc__bw_delcbl__2,1.2689777355,3.9571605269
misc__bw_delfabr__1,2.5818866893,4.1406085441
misc__bw_delfabr__2,2.1877371869,3.8547473819
misc__bw_delfadr__1,1.1892556756000001,4.0510669208
misc__bw_delfadr__2,1.8192676706,3.8017014072
misc__nitr_031__1,2.863157229,3.9159280632
omics__wt_glu__1,1.1646181257000001,4.1328049625
omics__wt_glu__2,0.3821688057,3.6703344262
omics__wt_gly__1,-0.5687389413,3.575948034
omics__wt_gly__2,0.3002362093,3.7242126798
omics__wt_thr__1,6.083992582,4.2758774909
omics__wt_thr__2,4.5335869496,4.3961975338
omics__bw_ac__1,2.2764217871,5.6996287213
omics__bw_ac__2,1.6701811482000002,5.5307795801
omics__bw_fum__1,1.8888593151,4.4884730133
omics__bw_fum__2,1.7730520521000002,4.4701308443
omics__bw_glc__1,1.2797326146999999,3.5216808761
omics__bw_glc__2,2.128593408,3.5382000968
omics__bw_pyr__1,1.3584441487,4.8009588414
omics__bw_pyr__2,1.7749430521,4.5227167793
ompr__wt_nacl__1,2.7115219111,3.8693699496000002
ompr__wt_nacl__2,2.2542813152,3.6119769131
ompr__bw_delompr_nacl__1,2.6531321117999997,3.6930778157
ompr__bw_delompr_nacl__2,1.8382590233,3.301534186
minspan__wt_ade__1,0.22335743130000002,3.4123078668
minspan__wt_glc__1,1.5674929488,2.7311696437
minspan__wt_glc__2,0.9578561033,3.7220213759
minspan__wt_glc__3,2.1668444675,3.5247713628
minspan__wt_glc__4,0.9890858536,3.1642098357
minspan__wt_glc_anaero__1,1.9711948408,4.08170861
minspan__wt_glc_anaero__2,2.2657134307,3.6171886893
minspan__wt_trp__1,-1.5632986515,4.7487739739
minspan__bw_delcra_glc__1,0.2692305521,3.5170128254
minspan__bw_delcra_glc__2,-0.0830978911,3.3374954557
minspan__bw_delcra_trp__1,1.0159147372,3.7984618737
minspan__bw_delmntr__1,2.0886364185,4.0903365024
minspan__bw_delnac_ade__1,3.2623858798,3.1602060242
minspan__bw_delnac_glc__1,1.9596507962,3.5497784297
cra_crp__wt_ac__1,0.42650786960000003,5.4952477905
cra_crp__wt_ac__2,1.4043534043,5.2501065677
cra_crp__wt_fru__1,1.4305229718999999,4.4673738291
cra_crp__wt_fru__2,0.5880439452,4.7298751585000005
cra_crp__delcra_ac__1,3.6952986652,4.9317114336
cra_crp__delcra_ac__2,3.4296964947,5.0134529378
cra_crp__delcra_fru__1,2.5620817771,4.181846717
cra_crp__delcra_fru__2,2.2694059285,4.0012659454
cra_crp__delcra_glc__1,1.6263327198000002,3.88969406
cra_crp__delcra_glc__2,1.3100317059,4.1413116806
rpoB__wt_031__1,0.4291633299,5.0228425315
rpoB__wt_044__1,1.6039457222,4.1154387378
rpoB__wt_lb__1,2.3537164399,5.4507416244
rpoB__wt_lb__2,0.0190459578,5.6509567208
rpoB__rpoBE546V_031__1,2.2434214823,3.6587276367
rpoB__rpoBE546V_044__1,2.6052862741,4.2350553107
rpoB__rpoBE546V_lb__1,0.7567921390000001,5.1296583108
