,ydcL
Cr_1,0.005771889347352386
Cr_2,0.012731959660671057
Cr_3,0.019096478245070183
Cr_4,0.027087612617198317
Cr_5,0.035323238711729904
Cr_6,0.04089556103179908
Fe_1,-0.014774868701936544
Fe_2,-0.07621063433414668
Fe_3,-0.10871948620471313
Fe_4,-0.13640894212238086
Fe_5,-0.15605974785561125
Fe_6,-0.15014171218970193
Cd_1,0.005412355374790352
Cd_2,0.012485299170527313
Cd_3,0.021212119287660272
Cd_4,0.02617953794271405
Cd_5,0.027058551991099283
Cd_6,0.031678833010598866
Zn_1,0.02459053041837153
Zn_2,0.03409495993959112
Zn_3,0.033881816600519685
Zn_4,0.026300954237881
Zn_5,-0.0005800450651933729
Zn_6,-0.0643995336125612
Cu_1,-0.0012366192337256554
Cu_2,-0.00985042174593933
Cu_3,-0.021314144374473074
Cu_4,-0.02649844922780821
Cu_5,-0.012587715735685586
Cu_6,0.008296441898240945
Pb_1,0.016361127226166814
Pb_2,0.021008815373666664
Pb_3,0.028887409657378564
Pb_4,0.036720345811045926
Pb_5,0.043973581011125744
Pb_6,0.048130538938980776
