,ydeI
Cr_1,0.0019020802615892843
Cr_2,0.007185279682812922
Cr_3,0.013364654348784085
Cr_4,0.023315763156024842
Cr_5,0.029823360775794405
Cr_6,0.03249581812840261
Fe_1,-0.0023719061510641504
Fe_2,-0.02767741607658631
Fe_3,-0.06915007769805591
Fe_4,-0.12512889850579645
Fe_5,-0.18027727866899446
Fe_6,-0.2244867417998946
Cd_1,0.007571142760877834
Cd_2,0.011509600812621664
Cd_3,0.015531090926167416
Cd_4,0.0181914666467483
Cd_5,0.01536347424931209
Cd_6,0.020001613214562352
Zn_1,0.003495963280658073
Zn_2,-0.0031938578354657452
Zn_3,-0.011494097405395368
Zn_4,-0.020304436437384308
Zn_5,-0.025556027486482426
Zn_6,-0.028601191749187863
Cu_1,0.0030056370433853468
Cu_2,0.004476445035616673
Cu_3,0.0038085069217117695
Cu_4,0.0006957945411221369
Cu_5,-0.006813920588052783
Cu_6,-0.01289067355162152
Pb_1,0.015139372979657315
Pb_2,0.022512846925907142
Pb_3,0.031392925189756636
Pb_4,0.04214796120007925
Pb_5,0.06031036289254086
Pb_6,0.07660358322387162
