,ptsG
Cr_1,0.006232098248768065
Cr_2,0.014604005265759244
Cr_3,0.02041683157774661
Cr_4,0.02284372006139914
Cr_5,0.026473916893433203
Cr_6,0.020729851064598414
Fe_1,-0.0005795410944074195
Fe_2,0.009052940682282065
Fe_3,0.024905021354176653
Fe_4,0.01730903918054206
Fe_5,0.008586440249587957
Fe_6,0.0002823707057157542
Cd_1,-0.0006812887627556701
Cd_2,0.007018636430238527
Cd_3,0.017890062076685267
Cd_4,0.02267872622985129
Cd_5,0.021141281324573147
Cd_6,0.0257308200671482
Zn_1,-0.009133475469743206
Zn_2,-0.009006335694094685
Zn_3,-0.0031190516451238487
Zn_4,-0.007316738337344264
Zn_5,-0.015553380243812481
Zn_6,-0.026666864695273903
Cu_1,0.004407646294283342
Cu_2,0.013536764352839143
Cu_3,0.027445868579324944
Cu_4,0.04233174221324845
Cu_5,0.055055046920679536
Cu_6,0.06774611479342803
Pb_1,0.009447306141637043
Pb_2,0.013612947575023735
Pb_3,0.025915772507826042
Pb_4,0.03451178122784531
Pb_5,0.050404198945418095
Pb_6,0.06668573421404766
