,ybiN
Cr_1,-0.00017732351111244093
Cr_2,0.002754849522080684
Cr_3,0.0053590660627176115
Cr_4,0.008554848923014795
Cr_5,0.014534499112309968
Cr_6,0.02239415561430429
Fe_1,2.6848642948371483e-06
Fe_2,0.026113917230288098
Fe_3,0.07568765707581385
Fe_4,0.11801363506809925
Fe_5,0.15772782838543029
Fe_6,0.19084807950287586
Cd_1,0.005236969840153124
Cd_2,0.012062078542301841
Cd_3,0.01722619667245638
Cd_4,0.02095033088014864
Cd_5,0.019590442035252044
Cd_6,0.02127745904575248
Zn_1,-0.002514433294359624
Zn_2,0.0018062769760468886
Zn_3,0.003458222692331129
Zn_4,0.002950351971574897
Zn_5,-0.005696723055021008
Zn_6,-0.01832361803314413
Cu_1,0.005961235355896753
Cu_2,0.009814738418648805
Cu_3,0.012886597972928874
Cu_4,0.015857819223179585
Cu_5,0.026190570432698998
Cu_6,0.03503194623258757
Pb_1,0.0022346362832661127
Pb_2,0.0017877554802090887
Pb_3,0.003689805841438201
Pb_4,0.005432793260733186
Pb_5,0.005439786858982806
Pb_6,0.008047471028493715
