,-0.1934797713,-0.1289865142,-0.06449325710000003,-5.551115123125783e-17,0.06449325709999992,0.1289865141999999,0.19347977129999988,0.25797302839999986,0.32246628549999984,0.3869595425999998,0.4514527996999998,0.5159460567999998,0.5804393138999997,0.6449325709999998,0.7094258280999997,0.7739190851999997,0.8384123422999996,0.9029055993999997,0.9673988564999996,1.0318921135999994
thresh,-0.09673988565,0.09673988565,1,,,,,,,,,,,,,,,,,
unreg,2,1,36,4130,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
unreg_genes,['ubiA' 'ndh'],['ycfJ'],[],[],[],[],[],[],[],[],[],[],['ubiC'],[],[],[],[],[],[],[]
