,uxuR
Cr_1,-0.008779674784061211
Cr_2,-0.014856579591344073
Cr_3,-0.01663913116240542
Cr_4,-0.01974587383584913
Cr_5,-0.019933116328397414
Cr_6,-0.024678037779471692
Fe_1,-0.007985814950551213
Fe_2,-0.020329086493618226
Fe_3,-0.03511038734688102
Fe_4,-0.051207986179596536
Fe_5,-0.07619614821321459
Fe_6,-0.1027655449762892
Cd_1,-0.0019294484413413325
Cd_2,-0.005979315002409402
Cd_3,-0.013492215614704348
Cd_4,-0.01640563646137251
Cd_5,-0.01969648811838357
Cd_6,-0.019105829560288674
Zn_1,0.27394692680300137
Zn_2,0.5603267276941467
Zn_3,0.8168601168455759
Zn_4,1.0458116347062751
Zn_5,1.2272894118963649
Zn_6,1.3520660082040366
Cu_1,0.003154691623169541
Cu_2,0.0099234428247173
Cu_3,0.010320999052780104
Cu_4,0.017567860549075203
Cu_5,0.02761221708996689
Cu_6,0.03336252369498985
Pb_1,0.003827683366777776
Pb_2,0.01438013203360446
Pb_3,0.016523216115846458
Pb_4,0.021151141390001217
Pb_5,0.028557547723598312
Pb_6,0.04253098129422325
