,xthA
Cr_1,-0.0003862943533550438
Cr_2,0.006458843342642043
Cr_3,0.011872616844980772
Cr_4,0.017606531878625657
Cr_5,0.01816479796451646
Cr_6,0.02020895801139249
Fe_1,-0.008668412652788098
Fe_2,-0.014337590550020396
Fe_3,-0.01671760375354384
Fe_4,-0.02031678372047526
Fe_5,-0.023383810163269902
Fe_6,-0.02293789471851364
Cd_1,0.005742530365492479
Cd_2,0.013085850694923993
Cd_3,0.02238560686634906
Cd_4,0.029597305504539706
Cd_5,0.030094136064241193
Cd_6,0.03533359182076798
Zn_1,-0.014649609260232776
Zn_2,-0.020224716518521552
Zn_3,-0.02197392751377413
Zn_4,-0.011590578718545186
Zn_5,-0.0022822220031054863
Zn_6,-0.0002470752073436376
Cu_1,0.006309950873059272
Cu_2,0.011456414377713602
Cu_3,0.0184876735342818
Cu_4,0.023024914389849976
Cu_5,0.027945246055622496
Cu_6,0.03098773709014495
Pb_1,0.001965094759608661
Pb_2,0.0050336422619297215
Pb_3,0.00811367110009639
Pb_4,0.013093236381551335
Pb_5,0.02251307897667561
Pb_6,0.03308491103439727
