,yejL
Cr_1,-0.010099781735215814
Cr_2,-0.0067158548347952115
Cr_3,0.002758058138681246
Cr_4,0.020082077889708252
Cr_5,0.012495752145585369
Cr_6,0.011237640614038924
Fe_1,-0.01948244837948305
Fe_2,-0.03135945558672063
Fe_3,-0.040356087700717296
Fe_4,-0.021941201724080744
Fe_5,-0.011124230755232865
Fe_6,0.015469907761671819
Cd_1,-0.002760319038588018
Cd_2,-0.0037318614754032063
Cd_3,0.0032775577109447826
Cd_4,0.006370630657747683
Cd_5,0.0058944770400085325
Cd_6,0.017542995940663712
Zn_1,-0.015434549888081604
Zn_2,-0.02443119143546742
Zn_3,-0.046568717506670784
Zn_4,-0.056976256676858586
Zn_5,-0.06178395108006926
Zn_6,-0.052078675867807116
Cu_1,-0.0005673861880091365
Cu_2,-0.0017674632217808454
Cu_3,-1.840642698747023e-05
Cu_4,-0.00025523454800150677
Cu_5,0.005442831832647258
Cu_6,0.01763392455094359
Pb_1,0.003875371352829225
Pb_2,0.007342508154443339
Pb_3,0.015000060488600959
Pb_4,0.0284573325215207
Pb_5,0.039919495139731816
Pb_6,0.051539903040568436
