,A,AtoC,RpoN
R2,,0.03071709834154035,0.0
xmin,,-3.569335916,-2.3873792415
xmid,,-1.1810971221892848,
xmax,,4.066392929,1.0586750145
ystart,,0.4806591949614643,0.7292688262582823
yend,,2.1207014524714,0.7292688262582823
ecoli_00001,0.4017703266,-0.016576629000000002,-0.0046102245
ecoli_00002,-0.4017703266,0.016576629000000002,0.0046102245
ecoli_00003,0.41780366420000004,0.464208591,0.7030172055
ecoli_00004,0.5483595034000001,0.347168768,0.8161369585
ecoli_00005,-0.0815673564,-0.248445361,-0.0984432415
ecoli_00006,0.6466610893,-0.13439019700000002,-0.0146245195
ecoli_00007,0.2985514996,0.21407061200000002,0.5910067835
ecoli_00008,-0.23456095270000002,0.342750106,0.7714851735
ecoli_00009,0.3087172669,0.018525773000000002,0.1582958355
ecoli_00010,0.38501812630000004,0.170052367,0.09519432950000001
ecoli_00011,-0.018244892000000002,-0.061954562000000005,0.1518490055
ecoli_00012,0.3280263774,0.099584458,0.22540910150000001
ecoli_00014,0.1098391856,0.173727397,0.2189185305
ecoli_00015,0.1438661756,0.310738292,0.1845077045
ecoli_00016,-0.2072745571,-0.011593775,0.1457626175
ecoli_00017,0.5739643144000001,0.07877518900000001,0.16061627050000002
ecoli_00018,1.1636773019,0.106739859,0.23216701250000002
ecoli_00019,2.1064236164,-0.6955125430000001,0.4468107435
ecoli_00020,1.8022164528,-0.581618426,0.3896680745
ecoli_00021,0.5057335698000001,-0.702136881,0.3630092975
ecoli_00022,0.3551785986,-0.9480549960000001,0.36022816350000003
ecoli_00023,1.5392737506,-0.85108139,0.45338366350000003
ecoli_00024,1.2201470605,-0.5841456110000001,0.43859741750000003
ecoli_00025,1.7052076804,-0.536899192,0.6504048325
ecoli_00026,1.8906753826,-0.49836589900000006,0.6203968145000001
ecoli_00027,2.4973729885,0.013203595,0.3878049415
ecoli_00028,2.2686426519,-0.009210205,0.38617062950000003
ecoli_00029,2.285356918,0.08739134600000001,0.1780138735
ecoli_00030,2.7667816143,0.032376271000000005,0.14013047450000002
ecoli_00031,4.0433964346,0.42077727000000004,0.38755840750000004
ecoli_00032,4.7066453783,0.382699196,0.3112008835
ecoli_00033,4.4692023291,0.340401102,0.6216542455
ecoli_00034,4.3272437639,-0.11238519999999999,0.8497727805
ecoli_00035,3.2730213368,-0.060064145000000006,0.1636119455
ecoli_00036,3.7997007021,0.08910604100000001,0.2066971445
ecoli_00037,4.3802571737000005,0.245729266,0.3080251985
ecoli_00038,4.8373717837,0.439158406,0.2967956055
ecoli_00039,-0.7187764598,-0.46945612700000006,-0.2040379745
ecoli_00040,-0.5383972305,-0.160813844,-0.2513449025
ecoli_00041,0.3030807044,-0.046837488000000004,0.4210455765
ecoli_00042,0.1084614918,-0.19394728,0.3409092855
ecoli_00043,0.3407786658,-0.02693044,0.26062700850000003
