,rpiA
Cr_1,-0.0039098054931787475
Cr_2,-0.006370571667576579
Cr_3,-0.002266996947817157
Cr_4,-0.00016182017585597287
Cr_5,-0.004996819385774171
Cr_6,-0.015395138444884746
Fe_1,-0.014588063797690303
Fe_2,-0.04068188500632471
Fe_3,-0.07480957331154907
Fe_4,-0.1192920404988306
Fe_5,-0.15246944738799068
Fe_6,-0.1813819233459616
Cd_1,0.045916484814870484
Cd_2,0.11961362032921227
Cd_3,0.1860958900083694
Cd_4,0.21617673797661968
Cd_5,0.2416048434693297
Cd_6,0.5022926557233971
Zn_1,-0.0011931083770598825
Zn_2,0.008150641712075827
Zn_3,0.03715785284130665
Zn_4,0.08172376814138042
Zn_5,0.11617204664382624
Zn_6,0.1520627272834713
Cu_1,0.004275845219670256
Cu_2,0.013689919635325691
Cu_3,0.018809604473042984
Cu_4,0.027777245604159662
Cu_5,0.03741411349201685
Cu_6,0.04199920483710014
Pb_1,-0.005487587072947329
Pb_2,-0.007337246380771441
Pb_3,0.000482274936786262
Pb_4,0.0006377789270951498
Pb_5,-0.0027708667218111147
Pb_6,0.004240157397497463
