,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
47,Glc Growth/Exhaust__T0.0H,7.7867,,1.0,121.0,7.7867,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,8.2468,,1.0,122.0,8.2468,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,8.8599,,1.0,123.0,8.8599,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,8.949,,1.0,124.0,8.949,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,9.083,,1.0,125.0,9.083,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,9.0967,,1.0,126.0,9.0967,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,8.3183,,1.0,127.0,8.3183,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,8.809,,1.0,128.0,8.809,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,8.605,,1.0,129.0,8.605,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,8.3817,,1.0,130.0,8.3817,,,,,,,,,,,,,,
57,Stressors__HPh,9.073133333333333,0.284569663410093,3.0,131.0,9.3778,132.0,8.8142,133.0,9.0274,,,,,,,,,,
58,Stressors__LPh,9.294266666666667,0.20849377288862464,3.0,134.0,9.1828,135.0,9.5348,136.0,9.1652,,,,,,,,,,
59,Stressors__LPhT,11.0762,0.4578882942377983,3.0,137.0,10.6419,138.0,11.0322,139.0,11.5545,,,,,,,,,,
60,Stressors__SMMPr,8.460433333333333,0.11248841421823537,3.0,140.0,8.389,141.0,8.4022,142.0,8.5901,,,,,,,,,,
61,Stressors__HiTm,8.852400000000001,0.10045043553912612,3.0,143.0,8.8112,144.0,8.7791,145.0,8.9669,,,,,,,,,,
62,Stressors__LoTm,8.851799999999999,0.04797947477828356,3.0,146.0,8.9072,147.0,8.8245,148.0,8.8237,,,,,,,,,,
63,Stressors__HiOs,11.168733333333334,0.13531970785267505,3.0,149.0,11.3027,150.0,11.0321,151.0,11.1714,,,,,,,,,,
64,Stressors__BMM,8.779366666666666,0.13600743852206457,3.0,152.0,8.886,153.0,8.8259,154.0,8.6262,,,,,,,,,,
65,Stressors__Heat,9.953533333333333,0.1993140570389689,3.0,155.0,10.1542,156.0,9.950800000000001,157.0,9.7556,,,,,,,,,,
66,Stressors__Cold,8.255066666666666,0.3063189895082142,3.0,158.0,8.5249,159.0,8.318200000000001,160.0,7.9221,,,,,,,,,,
67,Stressors__Etha,8.206266666666666,0.040105028778612314,3.0,161.0,8.2334,162.0,8.2252,163.0,8.1602,,,,,,,,,,
68,Stress Time Course__SMM,9.173833333333334,0.08547422613474416,3.0,164.0,9.272,165.0,9.1159,166.0,9.1336,,,,,,,,,,
69,Stress Time Course__Salt,7.419033333333334,0.04283985683138221,3.0,167.0,7.4685,168.0,7.3945,169.0,7.3941,,,,,,,,,,
70,Stress Time Course__Mt0,7.3847000000000005,0.33333013665133854,2.0,170.0,7.6204,171.0,7.149,,,,,,,,,,,,
71,Stress Time Course__M0t45,7.8732,0.2614395341183117,3.0,172.0,7.8811,173.0,8.1306,174.0,7.6079,,,,,,,,,,
72,Stress Time Course__M0t90,10.427233333333334,0.4582162189767324,3.0,175.0,9.9783,176.0,10.8942,177.0,10.4092,,,,,,,,,,
73,Stress Time Course__M40t45,8.172600000000001,0.774085189110346,3.0,178.0,8.135,179.0,8.9648,180.0,7.418,,,,,,,,,,
74,Stress Time Course__M40t90,10.728233333333334,0.5456029355981634,3.0,181.0,10.0983,182.0,11.0348,183.0,11.0516,,,,,,,,,,
75,Stress Time Course__dia0,7.5310999999999995,0.2555177684623906,3.0,184.0,7.4774,185.0,7.8092,186.0,7.3067,,,,,,,,,,
76,Stress Time Course__dia5,7.783500000000001,0.16521949037568187,3.0,187.0,7.7281,188.0,7.9693000000000005,189.0,7.6531,,,,,,,,,,
77,Stress Time Course__dia15,7.191866666666667,0.07857673531862595,3.0,190.0,7.1015,191.0,7.23,192.0,7.2441,,,,,,,,,,
78,Stressors__Diami,7.4341,0.22928783221095708,3.0,193.0,7.4882,194.0,7.1826,195.0,7.6315,,,,,,,,,,
79,Stressors__Paraq,7.157333333333334,0.2386410763748216,3.0,196.0,7.4251000000000005,197.0,6.9671,198.0,7.0798,,,,,,,,,,
80,Stressors__H2O2,7.0583,0.1191815002422775,3.0,199.0,6.9216,200.0,7.1129,201.0,7.1404,,,,,,,,,,
81,Stressors__Oxctl,7.568433333333334,0.2725570093271008,3.0,202.0,7.8084,203.0,7.6248000000000005,204.0,7.2721,,,,,,,,,,
82,Carbon Transition__GM-0.1,9.6992,0.8430624591333673,3.0,205.0,8.8211,215.0,9.7743,225.0,10.5022,,,,,,,,,,
83,Carbon Transition__GM-0.2,9.494966666666667,0.7322810412221076,3.0,206.0,8.7953,216.0,9.4336,226.0,10.256,,,,,,,,,,
84,Carbon Transition__GM+5,8.9301,0.9305449371201804,3.0,207.0,8.1923,217.0,8.6225,227.0,9.9755,,,,,,,,,,
85,Carbon Transition__GM+15,9.170566666666668,0.49002828829908646,3.0,208.0,8.723700000000001,219.0,9.0934,229.0,9.6946,,,,,,,,,,
86,Carbon Transition__GM+25,9.536633333333333,0.08951929028613523,3.0,209.0,9.64,220.0,9.4854,230.0,9.4845,,,,,,,,,,
87,Carbon Transition__GM+45,9.136733333333334,0.3806036039415993,3.0,210.0,9.2603,221.0,8.7097,231.0,9.4402,,,,,,,,,,
88,Carbon Transition__GM+60,9.1078,0.31072896549887336,3.0,211.0,9.4421,222.0,8.8278,232.0,9.0535,,,,,,,,,,
89,Carbon Transition__GM+90,9.625733333333335,0.09636162790931518,3.0,212.0,9.5966,223.0,9.7333,233.0,9.5473,,,,,,,,,,
90,Carbon Transition__GM+120,9.19835,0.44286097705713506,2.0,213.0,8.8852,234.0,9.5115,,,,,,,,,,,,
91,Carbon Transition__GM+150,8.611666666666666,0.5377834539415781,3.0,214.0,9.1424,224.0,8.0671,235.0,8.6255,,,,,,,,,,
92,Carbon Transition__GM+10,9.0168,0.18370634175226397,2.0,218.0,8.8869,228.0,9.1467,,,,,,,,,,,,
93,Carbon Transition__MG-0.1,8.491,0.4384740243161508,3.0,236.0,8.4963,244.0,8.0499,254.0,8.9268,,,,,,,,,,
94,Carbon Transition__MG+5,8.895833333333334,0.35374923792615165,3.0,237.0,9.302,246.0,8.6552,256.0,8.7303,,,,,,,,,,
95,Carbon Transition__MG+10,9.1153,0.6234586112966923,3.0,238.0,9.6925,247.0,9.1993,257.0,8.4541,,,,,,,,,,
96,Carbon Transition__MG+15,9.115633333333333,0.2472232661650866,3.0,239.0,8.8892,248.0,9.3794,258.0,9.0783,,,,,,,,,,
97,Carbon Transition__MG+25,8.834266666666666,0.33091588558625257,3.0,240.0,9.0661,249.0,8.4553,259.0,8.9814,,,,,,,,,,
98,Carbon Transition__MG+45,8.968000000000002,0.5062784609283714,3.0,241.0,8.9906,250.0,8.4508,260.0,9.4626,,,,,,,,,,
99,Carbon Transition__MG+120,9.3643,0.5278583427397917,3.0,242.0,8.765,253.0,9.7602,263.0,9.5677,,,,,,,,,,
100,Carbon Transition__MG+150,8.963899999999999,0.5495633903381839,2.0,243.0,8.5753,264.0,9.3525,,,,,,,,,,,,
101,Carbon Transition__MG-0.2,8.534600000000001,0.1128542422773725,2.0,245.0,8.4548,255.0,8.6144,,,,,,,,,,,,
102,Carbon Transition__MG+60,8.73715,0.09991418818165994,2.0,251.0,8.8078,261.0,8.6665,,,,,,,,,,,,
103,Carbon Transition__MG+90,9.10625,0.6486290503824194,2.0,252.0,8.6476,262.0,9.5649,,,,,,,,,,,,
