,ybdF
Cr_1,0.004606632770654661
Cr_2,0.008289240770220092
Cr_3,0.013780846218055743
Cr_4,0.015882200092507518
Cr_5,0.01932154219466717
Cr_6,0.02204696517696829
Fe_1,-0.009315385820566107
Fe_2,-0.01127100892397324
Fe_3,-0.0059058600221697935
Fe_4,-0.007671144103818093
Fe_5,-0.022059864614969033
Fe_6,-0.031221255491805967
Cd_1,0.002539374192373777
Cd_2,0.004531452782344015
Cd_3,0.00838244172263682
Cd_4,0.011426688930170265
Cd_5,0.01071264081223292
Cd_6,0.014926062535671662
Zn_1,-0.004627547277453827
Zn_2,-0.009921147407143538
Zn_3,-0.015468834036999746
Zn_4,-0.016364732738082498
Zn_5,-0.021699709908326783
Zn_6,-0.026077867224811216
Cu_1,0.004904685027022657
Cu_2,0.00945240351989164
Cu_3,0.014152546351602556
Cu_4,0.019809956385830704
Cu_5,0.025597097632796727
Cu_6,0.031412221992415695
Pb_1,-0.0017899306175734899
Pb_2,0.002152883049010322
Pb_3,0.012495388374216107
Pb_4,0.024143608210830253
Pb_5,0.03509531478730493
Pb_6,0.046282510070314135
