,proL
Cr_1,0.0010904599318149078
Cr_2,0.013533923029641305
Cr_3,0.0320465525697512
Cr_4,0.05015771551772245
Cr_5,0.06466986170318771
Cr_6,0.06817601301925312
Fe_1,-0.00625607683099381
Fe_2,0.02061053168519647
Fe_3,0.08168926047669106
Fe_4,0.14003050624917393
Fe_5,0.19336836205940994
Fe_6,0.23243810717828134
Cd_1,-0.0008606708560971424
Cd_2,-0.002203429704396872
Cd_3,-0.00945103276215961
Cd_4,-0.01804882901340349
Cd_5,-0.021046918516099144
Cd_6,-0.019312346698555208
Zn_1,-0.0517560057011681
Zn_2,-0.02602695970424576
Zn_3,-0.06579688778259357
Zn_4,-0.0679014111645938
Zn_5,-0.03429653485438474
Zn_6,-0.022018679317115368
Cu_1,0.01190031609554427
Cu_2,0.021693462261488973
Cu_3,0.030810210948180775
Cu_4,0.046403607104737114
Cu_5,0.05890443561766257
Cu_6,0.0625817665163692
Pb_1,0.0009430166939556873
Pb_2,0.01023519437799336
Pb_3,0.015493098348176243
Pb_4,0.020450413007076958
Pb_5,0.014665518946341253
Pb_6,0.007764292850316715
