,A,Rv3066,Rv3249c,mbcA
R2,,0.7854035523791036,0.05041945288275618,0.0161676999680328
xmin,,-3.2243356106,-3.9646046587,-2.4581452912
xmid,,-1.3275887060103073,,-0.3475729791853413
xmax,,3.7310855436,2.9234995279,3.438383904
ystart,,-3.253977434174071,2.096365173584297,0.40566240084750294
yend,,9.22142958925444,-1.6950592194224554,-1.5267390337389088
AX:AX_10_MIC:1,-1.1246222646,-1.1354877832,-0.7117780951,-0.0600212631
AX:AX_10_MIC:2,-0.08026482830000001,-0.1650333455,-0.4197377189,0.1933530618
AX:AX_30_MIC:1,-0.0755317521,-0.58313327,-0.5143029016,-0.0629086533
AX:AX_30_MIC:2,0.2029096446,0.38341250930000004,-0.3721411617,0.2951703724
AX:QZ_10_MIC:1,0.32728773920000004,-0.0893043039,-0.5274287799,0.4106156005
AX:QZ_10_MIC:2,0.2029416387,-0.0086914499,-0.40429794900000005,0.2150114157
AX:QZ_30_MIC:1,0.3400221465,-0.2516181295,-0.5752488953,0.1900172233
AX:QZ_30_MIC:2,0.5183840054000001,-0.5223271038,-0.5898734814000001,0.3261168024
AX:wt:1,0.27262019260000003,-0.2146197951,0.0391693118,-0.0022803484
AX:wt:2,-0.27262019260000003,0.2146197951,-0.0391693118,0.0022803484
ITM_04:00h_clinic_ctrl:1,0.4671713309,-0.2889209542,-0.5406538682,-0.1969104152
ITM_04:00h_clinic_ctrl:2,0.4542412462,0.0763758994,-0.3949084202,-0.36299220600000004
ITM_04:00h_h37rv_control:1,0.1793345496,0.087595368,0.1195556133,0.0162482111
ITM_04:00h_h37rv_control:2,0.1501016077,0.09893663800000001,-0.00041467720000000003,0.10157597010000001
ITM_04:00h_h37rv_control:3,-0.32943615730000003,-0.186532006,-0.1191409362,-0.1178241812
ITM_04:06h_clinic_delam:1,6.8480146011,2.8163673124,-3.2571728498,-0.715879343
ITM_04:06h_clinic_delam:2,6.8370481519,2.9294530930000002,-3.1549114611,-0.760735708
ITM_04:06h_clinic_delam:3,6.6658992242,2.4973401022,-3.0000695643,-0.704312919
ITM_04:06h_clinic_DMSO:1,1.0787210688,0.3476994137,-2.8010235193,-0.5593783638000001
ITM_04:06h_clinic_DMSO:2,1.0168466217,0.2138741744,-2.7166020114,-0.5331236312000001
ITM_04:06h_clinic_DMSO:3,1.3722653293,0.4706188275,-2.7657845996,-0.6525306334000001
ITM_04:06h_h37rv_delam:1,5.6385122606,2.2006114954,-2.9405727129,-0.9369304123000001
ITM_04:06h_h37rv_delam:2,6.1104909914,2.5253907558,-3.0802068144,-1.0452956582
ITM_04:06h_h37rv_delam:3,5.9310675593,2.446605549,-3.0465080263,-0.8240129323000001
ITM_04:06h_h37rv_DMSO:1,0.7712011222,0.6676927084000001,-2.0150451533,-0.3232885513
ITM_04:06h_h37rv_DMSO:2,1.1959348915999999,0.3727531912,-2.1067094038,-0.34237347900000004
ITM_04:06h_h37rv_DMSO:3,1.5042217869,0.5181950789,-2.0161415161,-0.2195142165
ITM_04:24h_clinic_delam:1,5.4607972844,1.97188717,-2.9293525421,-0.7749439929
ITM_04:24h_clinic_delam:2,5.9708697809,2.172635432,-3.1083792988,-0.49860034100000006
ITM_04:24h_clinic_delam:3,5.9375151227,2.4103190143,-3.0374131658,-0.5754745858
ITM_04:24h_clinic_DMSO:1,1.3836547016,0.5898645286,-2.7062595544,-0.4271901165
ITM_04:24h_clinic_DMSO:2,1.5575043225,0.6882532409000001,-2.6294389889,-0.6776059172000001
ITM_04:24h_clinic_DMSO:3,1.8056715271,0.37757055230000003,-2.7398934609000003,-0.3641957946
ITM_04:24h_h37rv_delam:1,4.4259513034,1.5334101848000001,-3.2895608044,-0.8134478545
ITM_04:24h_h37rv_delam:2,4.9872294423,1.663656784,-3.1153324549,-0.7016192583
ITM_04:24h_h37rv_delam:3,4.2168932655999996,1.5320005591,-3.2413542328,-0.8508915643
ITM_04:24h_h37rv_DMSO:1,2.2624924461,0.8649800764000001,-1.9616570721,-0.3740008401
ITM_04:24h_h37rv_DMSO:2,2.2604412595,0.5674040737,-2.0139162511,-0.4056733267
JSF:DMSO:1,-0.2256354653,-0.0129159992,0.0692211028,-0.0885025242
JSF:DMSO:2,0.0824229446,-0.1683569378,0.0017480958000000001,0.15220488740000002
JSF:DMSO:3,0.2323235419,0.1968915491,-0.097460696,-0.1241426488
JSF:DMSO:4,-0.08911102130000001,-0.0156186121,0.0264914974,0.0604402855
JSF:JSF_2019:1,2.4490619055,1.0800456963,-0.7295619897000001,-0.39580523170000004
JSF:JSF_2019:2,2.9525102215,1.3081399179,-0.6659880809000001,-0.43960796230000004
JSF:JSF_2019:3,2.4750886968,1.2406825917,-0.706232705,-0.6250436412
JSF:JSF_2019:4,2.2387018822,1.0226547036,-0.8273804543000001,-0.45243178240000004
JSF:JSF_2026:1,1.6305435663,0.1547738492,-0.3371455223,0.5016778635
JSF:JSF_2026:2,1.8793619042,0.3599060665,-0.49655816010000003,0.23690774450000002
JSF:JSF_2026:3,2.0147102348,0.3042797825,-0.34157076480000004,0.3830558546
JSF:JSF_2026:4,1.7523323361,0.1123544801,-0.4073725049,0.4541218414
MTS1338:over_expression:1,0.7594155455,0.1148363793,-0.1419340862,-0.2268208709
MTS1338:over_expression:2,-0.7594155455,-0.1148363793,0.1419340862,0.2268208709
PAS:control:1,0.3159982377,-0.3915903808,0.057975892700000003,-0.0078570102
PAS:control:2,0.1136020568,0.2514557222,-0.2476813064,0.013013127400000001
PAS:control:3,-0.42960029450000004,0.14013465860000002,0.18970541370000002,-0.0051561173000000005
PAS:treated:1,-0.8487008966,0.8885438486,1.0299666289,-0.4175555421
PAS:treated:2,-0.3792997395,0.6678265153,0.9340371319,-0.08475453990000001
PAS:treated:3,-0.9917956153,0.7429360686,1.0367043892,-0.2747355104
THP-1:24h_THP_B_enriched:1,-0.8307433552,0.12820012620000001,0.1319102665,0.4594470075
THP-1:24h_THP_B_enriched:2,0.8307433552,-0.12820012620000001,-0.1319102665,-0.4594470075
aminoimidazoles:02h_treated:1,1.5027020336999999,-0.10329271520000001,0.2123820744,-0.0059834715
aminoimidazoles:02h_treated:2,1.3358220451,0.0770209703,0.2127281682,-0.023131071000000003
aminoimidazoles:24h_treated:1,4.3753956627,0.5953855371,-0.4277671572,0.5181066292000001
aminoimidazoles:24h_treated:2,3.8655695281,0.9239022144000001,-0.4274576177,0.2202129635
aminoimidazoles:untreated:1,-0.2236509146,0.1243367767,-0.051214881600000005,0.0470364372
aminoimidazoles:untreated:2,-0.18856100820000002,0.1579600774,-0.0912434195,-0.048887889500000004
aminoimidazoles:untreated:3,0.4122119228,-0.28229685400000004,0.14245830110000002,0.0018514523
antibiotic:ctrl_24h:1,0.843064663,0.2840371618,0.1251234646,0.1133227584
antibiotic:ctrl_24h:2,1.1025713392,0.11662887270000001,0.2609831621,-0.4588462223
antibiotic:ctrl_24h:3,1.0435954122,0.0550444981,-0.0087349747,0.0600456742
antibiotic:ctrl_4h:1,0.0410689972,0.0591094282,-0.0481508743,-0.044235532200000004
antibiotic:ctrl_4h:2,0.0112598158,0.0994747792,0.034255555800000004,-0.1158312888
antibiotic:ctrl_4h:3,-0.052328813,-0.1585842074,0.0138953185,0.160066821
antibiotic:izd_4h:1,-7.7817543353000005,-3.2243356106,-0.7573444636000001,-0.7540544823
antibiotic:izd_4h:2,-7.5497865298,-2.10880586,-0.6807952431000001,-0.7645394488
base:wt_glu_24:1,1.5013923302999999,0.5545853968000001,-0.47793900200000006,0.7065314570000001
base:wt_glu_24:2,0.6294884172,0.4398670073,-0.47019832030000003,0.4403095319
base:wt_glu_24:3,0.6271485742,0.1802218219,-0.4346492181,0.7782169433
base:wt_glu_6:1,0.12223546560000001,-0.0124002346,-0.22873697580000002,-0.428544735
base:wt_glu_6:2,-0.038164485500000005,0.0774969056,0.18399654410000002,0.39511282340000003
base:wt_glu_6:3,-0.0840709801,-0.06509667100000001,0.0447404317,0.0334319115
base:wt_llac_24:1,0.0708706603,0.22118708480000002,-0.388546796,-0.2967531183
base:wt_llac_24:2,0.4114435078,0.3630687172,-0.3280884825,0.34054894820000003
base:wt_llac_24:3,0.43314358470000003,-0.0527233068,-0.2842096743,-0.0258882444
base:wt_llac_6:1,0.09602986670000001,0.18096154990000002,0.11925710070000001,-0.255495486
base:wt_llac_6:2,-0.3637854387,-0.4654459542,-0.058856995,-0.1543751486
base:wt_llac_6:3,-0.43785197730000003,-0.0758943497,0.5844495363000001,0.2095467794
base:wt_pyr_24:1,1.2181335537,0.8945852527,-0.7247754218,0.0921793047
base:wt_pyr_24:2,1.43348155,0.3754138226,-0.36995169840000003,0.18823566400000002
base:wt_pyr_24:3,1.6127395424,0.8202198294,-0.5282564252,0.2727825122
base:wt_pyr_6:1,0.6501776155,0.0641215706,-0.6118710349,-0.6673486491
base:wt_pyr_6:2,0.5473084447000001,0.2390879143,-0.5427956154,-0.8550016886
base:wt_pyr_6:3,0.45743903140000003,0.0689273504,-0.1957938675,-0.2530239841
biofilm:biofilm:1,-1.0574058949,0.3149586059,2.8596366772,0.2220267799
biofilm:biofilm:2,-1.0342340938,0.2949377835,2.9234995279,0.190434507
biofilm:planktonic:1,0.1228389438,0.1429916027,0.008358019000000001,-0.09229497710000001
biofilm:planktonic:2,-0.1228389438,-0.1429916027,-0.008358019000000001,0.09229497710000001
btz043:0_days_.006:1,0.5778587673000001,0.47718109140000003,-0.3977079099,0.0571593777
btz043:0_days_.006:2,0.6254091151,0.2143782952,-0.40847621910000004,0.0731286976
btz043:0_days_.006:3,0.6320029497,0.330199523,-0.5883167823000001,-0.0489356647
btz043:0_days_control:1,-0.2293607738,-0.1424327369,-0.15125706700000002,-0.0098437527
btz043:0_days_control:2,0.1744311416,0.07968542790000001,0.1076103137,-0.0352643244
btz043:0_days_control:3,0.0549296322,0.062747309,0.0436467533,0.045108077100000005
btz043:1_days_.006:1,1.7303568247,1.142257871,-0.0658104657,-0.2191145777
btz043:1_days_.006:2,1.3173667068000001,0.9821126573000001,-0.10505764590000001,-0.3180047721
btz043:1_days_.006:3,1.6777618360000002,1.007375419,-0.0898616305,-0.230649299
btz043:1_days_.006:4,1.5172805718,0.7535734938,-0.0420050355,0.0522771181
btz043:1_days_control:1,-0.6476258299000001,0.4494238473,0.018272770900000002,-0.45471625200000004
btz043:1_days_control:2,-0.6709930582,0.41868617900000005,0.012640669200000001,-0.5372402067000001
btz043:1_days_control:3,-0.3949776561,0.446964071,0.0745891347,-0.5284763289000001
btz043:1_days_control:4,-1.005694903,0.40474292100000003,-0.013150344100000001,-0.9402091947000001
clarithromycin:1_days_control:1,-0.20947640750000002,-0.0039508103000000004,-0.0146396558,0.0087388792
clarithromycin:1_days_control:2,-0.1350895124,0.0033256406,-0.0040648482,-0.0089930326
clarithromycin:1_days_control:3,0.3445659199,0.0006251696000000001,0.018704504,0.0002541534
cnpB:del:1,0.5719689168000001,0.4902481785,-0.6561575549,-0.5821652302
cnpB:del:2,0.6000700693000001,0.1879564666,-0.3019314198,-0.1755022323
cnpB:del:3,1.9415449147000001,0.1940237913,-0.8410556865000001,-0.3445555491
cnpB:wt:1,-0.6557962666,-0.4327235267,-0.6622896971000001,-0.0171004217
