,0
name,MbcA+Rv3249c+Rv3066
TF,mbcA+Rv3249c+Rv3066
regulator,"<a href=""https://mycobrowser.epfl.ch/genes/Rv1990c"" target=""_blank"">mbcA</a> and <a href=""https://mycobrowser.epfl.ch/genes/Rv3249c"" target=""_blank"">Rv3249c</a> and <a href=""https://mycobrowser.epfl.ch/genes/Rv3066"" target=""_blank"">Rv3066</a>"
function,"iModulon that maps to the intersection of the Rv1990c, Rv3249c, and Rv3066 regulons"
category,Virulence/Persistence
has_venn,True
scatter,3
exp_var,0.0025851082087232635
precision,0.0
recall,0.0
