,ygeA
Cr_1,-0.005793289393024734
Cr_2,-0.005769555853273121
Cr_3,-0.00330264728603432
Cr_4,-0.0005600507943081215
Cr_5,0.013721935664236237
Cr_6,0.030425673968628345
Fe_1,-0.04594034641300211
Fe_2,-0.10477058725426353
Fe_3,-0.15960634264107695
Fe_4,-0.2121571508517424
Fe_5,-0.24400350374877505
Fe_6,-0.2651100978400799
Cd_1,-0.005080629100511139
Cd_2,-0.006324142703615905
Cd_3,-0.002532275442515409
Cd_4,-0.0014362377823307234
Cd_5,-0.002967660267948825
Cd_6,-0.00030266747921515536
Zn_1,-0.09632876888229604
Zn_2,-0.13008628846810746
Zn_3,-0.13954436505879506
Zn_4,-0.1463450481026886
Zn_5,-0.1397674212923165
Zn_6,-0.12058603661684646
Cu_1,0.006552269011030036
Cu_2,0.010691162652175092
Cu_3,0.017937171180897372
Cu_4,0.016045187134145874
Cu_5,0.015355832738128
Cu_6,0.02030846581068808
Pb_1,0.0019086827619257411
Pb_2,0.009055637561548794
Pb_3,0.025295465829715785
Pb_4,0.035410048468236636
Pb_5,0.04292354234769764
Pb_6,0.05799534932970608
