,yeeO
Cr_1,-0.014461960142128175
Cr_2,-0.039323765136813536
Cr_3,-0.06573527982253986
Cr_4,-0.0690309922922976
Cr_5,-0.05979022606160806
Cr_6,-0.049117716178292435
Fe_1,-0.04010241458630463
Fe_2,-0.01272955916484326
Fe_3,-0.1439912177950497
Fe_4,-0.1830636030261006
Fe_5,-0.16113386031898175
Fe_6,-0.18669571576868813
Cd_1,0.005655233122195418
Cd_2,0.005427380676430832
Cd_3,0.005656555694815483
Cd_4,0.013326978038523448
Cd_5,0.007902777197281736
Cd_6,0.00965510801366389
Zn_1,0.0025957850852999
Zn_2,0.006772166378422594
Zn_3,0.0012697802552950144
Zn_4,0.008195780530411569
Zn_5,0.00046849995969682216
Zn_6,0.007676470213151766
Cu_1,0.006452570065024997
Cu_2,0.010206776039200269
Cu_3,0.021778416374223317
Cu_4,0.02839737122426267
Cu_5,0.04363530197528173
Cu_6,0.05470657233253738
Pb_1,0.00601995724540435
Pb_2,0.013883433419240594
Pb_3,0.020882222862193198
Pb_4,0.03381050901501174
Pb_5,0.04230024661572268
Pb_6,0.05385827228095338
