,yhiI
Cr_1,-0.009039991060882987
Cr_2,-0.018658519980590208
Cr_3,-0.016739849301370208
Cr_4,-0.001831868679859096
Cr_5,0.01778472348410813
Cr_6,0.01762707273415651
Fe_1,-0.016695610840333212
Fe_2,-0.028896122104120275
Fe_3,-0.023818504132457924
Fe_4,0.0023241903094270737
Fe_5,0.029887471739615958
Fe_6,0.05699008040848622
Cd_1,0.0030036731320598905
Cd_2,0.009204666249901766
Cd_3,0.016782482807155847
Cd_4,0.02167897831109521
Cd_5,0.01900079871828966
Cd_6,0.010102087953676977
Zn_1,0.05478432918687235
Zn_2,0.10292634062284038
Zn_3,0.12540030342440794
Zn_4,0.1357230280334196
Zn_5,0.1177822396967105
Zn_6,0.06305000964460844
Cu_1,-0.010782031556571212
Cu_2,-0.012638612560364193
Cu_3,-0.009731455420532229
Cu_4,-0.011171834370559552
Cu_5,-0.01699443338392053
Cu_6,-0.014998376705124276
Pb_1,0.008422909471088272
Pb_2,0.019355488307318043
Pb_3,0.02859279120626068
Pb_4,0.03318057909474564
Pb_5,0.039706968567508716
Pb_6,0.03870493547578052
