,ynfA
Cr_1,0.0032136668656645466
Cr_2,0.005967642782345862
Cr_3,0.00948667845712088
Cr_4,0.011510850277307626
Cr_5,0.01453523722963303
Cr_6,0.017113413139004927
Fe_1,-0.01098667144693143
Fe_2,-0.028067393425262783
Fe_3,-0.04032423873266279
Fe_4,-0.04694709078066305
Fe_5,-0.050189041858460216
Fe_6,-0.04628039188701169
Cd_1,0.002026408133918776
Cd_2,0.0041322835907993405
Cd_3,0.008969524107263859
Cd_4,0.013666546298226698
Cd_5,0.013258512948769173
Cd_6,0.018545172105340152
Zn_1,-0.002562149980551571
Zn_2,-0.002052225452281716
Zn_3,0.006925230984789295
Zn_4,0.017302407957117887
Zn_5,0.03682900739138381
Zn_6,0.05885461042317351
Cu_1,0.0021217605639016358
Cu_2,0.007620645790270073
Cu_3,0.01701765459226369
Cu_4,0.026210618672876124
Cu_5,0.03188377605066356
Cu_6,0.04017859156885175
Pb_1,0.00965982522772455
Pb_2,0.016167286576539625
Pb_3,0.011898767234488305
Pb_4,0.017172570315443017
Pb_5,0.02180400226083553
Pb_6,0.030211658325036087
