,pgi
Cr_1,0.00421959215548685
Cr_2,0.01472716450550751
Cr_3,0.027284172730630125
Cr_4,0.041769058514811816
Cr_5,0.05806928975870365
Cr_6,0.07175994144028346
Fe_1,-0.00957996631058983
Fe_2,-0.03314530165913891
Fe_3,-0.0644524340382072
Fe_4,-0.10367417009392056
Fe_5,-0.1368784363679358
Fe_6,-0.15997359310484122
Cd_1,-0.0012648367424848994
Cd_2,-0.0016347441148063804
Cd_3,-0.004666934136859989
Cd_4,-0.005513203105475879
Cd_5,-0.012100836951188016
Cd_6,-0.012383240830000274
Zn_1,-0.007239507782274384
Zn_2,-0.016056765892169866
Zn_3,-0.0131705976901337
Zn_4,-0.007671297312088919
Zn_5,-0.0107308065899415
Zn_6,-0.01709597673904087
Cu_1,0.003619041304303253
Cu_2,0.007389473758553506
Cu_3,0.009412144619759458
Cu_4,0.013014492894446537
Cu_5,0.02091097488128325
Cu_6,0.03331348717273607
Pb_1,0.007100945760324552
Pb_2,0.014216321142904324
Pb_3,0.02222041380960916
Pb_4,0.034096698003913364
Pb_5,0.03974846895203938
Pb_6,0.046356147106695715
