,eutS
Cr_1,-0.014570576553683082
Cr_2,-0.01750482138099578
Cr_3,-0.02625980028396968
Cr_4,-0.01975418482762721
Cr_5,-0.035275536037010696
Cr_6,-0.029238210775167018
Fe_1,-0.01602069325725711
Fe_2,-0.03717121708283743
Fe_3,-0.04830430903720324
Fe_4,-0.0528039948707472
Fe_5,-0.05695339338597598
Fe_6,-0.04485076027237267
Cd_1,0.008220577428772847
Cd_2,0.013292166003810009
Cd_3,0.023288919068602518
Cd_4,0.03210820766441845
Cd_5,0.038819684582790066
Cd_6,0.035341654299490995
Zn_1,-0.017868617000971858
Zn_2,-0.029011151491642864
Zn_3,-0.020563629851928483
Zn_4,-0.008137210368826106
Zn_5,-0.00650789913832012
Zn_6,-0.008516146978092142
Cu_1,-0.004684626358468725
Cu_2,-0.003955975370323108
Cu_3,0.002335125108649502
Cu_4,0.014014504660795226
Cu_5,0.02087307171260246
Cu_6,0.01303575903311301
Pb_1,-0.025709582378501187
Pb_2,-0.026865143599561717
Pb_3,-0.013442616831214407
Pb_4,-0.0021273647813521137
Pb_5,-0.011420226182420432
Pb_6,0.0020821748116432
