,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
0,aat__00m_00s,-3.33333360913457e-11,0.4723071079270719,3.0,0.0,0.4774080485,6.0,-0.0103727505,12.0,-0.4670352981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,aat__00m_30s,-0.6480962746000001,0.5323276193286989,3.0,1.0,-0.9928139343000001,7.0,-0.9164754572,13.0,-0.0349994323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,aat__01m_00s,-0.08950964656666667,0.3462540141528267,3.0,2.0,-0.1596396048,8.0,0.2864412138,14.0,-0.3953305487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,aat__02m_00s,-0.6115578278666667,0.5203781523630544,3.0,3.0,-0.20669581310000001,9.0,-1.1985125448,15.0,-0.4294651257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,aat__05m_00s,-0.3500314757666667,0.09259356376515397,3.0,4.0,-0.3135074527,10.0,-0.2812701292,16.0,-0.4553168454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,aat__10m_00s,-0.5373361500333333,0.6735337549440611,3.0,5.0,-1.3100035957,11.0,-0.22772584510000002,17.0,-0.0742790093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,abx_mega__dmso-2,-2.0461084826500002,0.2747507791171159,2.0,18.0,-2.2403866217,71.0,-1.8518303436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,abx_mega__ery_dmso,-0.3232013274999999,1.7433904692500268,3.0,19.0,0.10368581930000001,70.0,1.1670968199,205.0,-2.2403866217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,abx_mega__nal_naoh,-0.8725060500625,0.6816920591780039,8.0,20.0,-2.2403866217,32.0,-0.3480133997,55.0,-0.6804093742,67.0,-1.2664703499,126.0,-0.883780035,147.0,-0.38689924210000004,203.0,-0.07924936020000001,210.0,-1.0948400177,,,,,,,,,,,,,,,,,,,,
9,abx_mega__dmso-5,0.3939044111,0.271513386078383,3.0,21.0,0.17879682090000001,34.0,0.6989830459,61.0,0.3039333665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,abx_mega__rif_dmso,2.0147691554625,0.43636921251405897,8.0,22.0,2.4899949033,104.0,2.003729626,111.0,2.0052379535,133.0,2.0376066229,165.0,1.122453907,238.0,2.2629023839,265.0,1.7555766637999999,270.0,2.4406511833,,,,,,,,,,,,,,,,,,,,
11,abx_mega__novo_h2o,1.4556582017857143,0.4642540028801472,7.0,23.0,1.6844947172,56.0,1.2789547166,82.0,0.8864017522000001,118.0,2.3372875254,134.0,1.1299847785,137.0,1.4092227681,227.0,1.4632611545,,,,,,,,,,,,,,,,,,,,,,
12,abx_mega__rach_dmso,-0.5549314515,0.38731037096381915,4.0,24.0,-0.0599598224,101.0,-0.9998587461,139.0,-0.5260159623,149.0,-0.6338912752,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,abx_mega__metro_dmso,1.220745749575,0.31856097860374694,4.0,25.0,1.4779600402,123.0,1.1909263014,155.0,1.4322718617,191.0,0.781824795,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,abx_mega__dmso-6,0.07979889856666668,0.39573030891011957,3.0,26.0,0.34289816710000004,59.0,0.2718022871,159.0,-0.37530375850000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,abx_mega__chl_h2o,0.43580815522000005,0.5254821483036384,5.0,27.0,0.8087606322,76.0,0.4619940261,146.0,0.7014537812,162.0,-0.47676063160000004,262.0,0.6835929682,,,,,,,,,,,,,,,,,,,,,,,,,,
16,abx_mega__cst_h2o,0.114769482875,0.5515022555621936,4.0,28.0,-0.41044016600000005,94.0,0.8774064580000001,186.0,-0.11974144910000001,231.0,0.1118530886,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,abx_mega__tec_h2o,-1.3412509326666668,0.20281378101659125,3.0,29.0,-1.4816995028,49.0,-1.1087334588,260.0,-1.4333198364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,abx_mega__str_h2o,-0.8797160073400001,1.389725743263937,5.0,30.0,-1.2650989661,77.0,-2.2403866217,172.0,-1.7100787746,259.0,1.3350295651000001,280.0,-0.5180452394,,,,,,,,,,,,,,,,,,,,,,,,,,
19,abx_mega__ctx_h2o,-0.959812813875,0.5808779080506302,4.0,31.0,-0.092586022,40.0,-1.2323971222,138.0,-1.3244878858,192.0,-1.1897802255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,abx_mega__phos_h2o,-1.1326815588285715,0.769547423961057,7.0,33.0,-0.7831608067,39.0,-0.5736791979,58.0,-0.9290092048,122.0,-2.2403866217,170.0,-2.2403866217,244.0,-0.49585011700000003,261.0,-0.666298342,,,,,,,,,,,,,,,,,,,,,,
21,abx_mega__polmyx_h2o,-1.1516570358714284,0.7805168283215986,7.0,35.0,-0.9197890433,79.0,-1.0759473067,92.0,-0.3697432934,208.0,-2.2403866217,251.0,-0.5031404177000001,263.0,-2.2403866217,299.0,-0.7122059466,,,,,,,,,,,,,,,,,,,,,,
22,abx_mega__h2o-8b,-0.7190819392333334,0.6161333527170277,3.0,36.0,-0.42258343940000004,234.0,-1.4274086731,275.0,-0.3072537052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,abx_mega__h2o-6,-0.5250428553,0.1917037952565835,3.0,37.0,-0.7027854483,214.0,-0.3219086029,307.0,-0.5504345147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,abx_mega__thio_dmso,0.10991673289999998,0.6360895653264985,4.0,38.0,-0.2748056031,102.0,1.0613362754,248.0,-0.1686089171,269.0,-0.1782548236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,abx_mega__lzd_dmso,-0.05350785594999999,0.7479312126049926,4.0,41.0,-0.2463821405,178.0,-1.0305536363,249.0,0.499609825,309.0,0.563294528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,abx_mega__naoh-9,-0.32456348995,0.08535871944081462,2.0,42.0,-0.3849212193,294.0,-0.2642057606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,abx_mega__dox_dmso,-0.328400353025,1.2161492981486537,8.0,43.0,0.5551128083,142.0,0.8562544357,166.0,-1.1650396932,177.0,-0.010343709900000001,221.0,0.8800745959,256.0,-1.7245719904999999,282.0,0.2216973512,305.0,-2.2403866217,,,,,,,,,,,,,,,,,,,,
28,abx_mega__phos_ethanol,-0.5111048628,0.13954527961734844,2.0,44.0,-0.6097782763,154.0,-0.41243144930000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,abx_mega__teix_dmso,-0.7389928339222221,0.5782596514488304,18.0,45.0,-1.5820075914,54.0,0.0709509076,106.0,-1.0077866669,108.0,0.14746275620000002,135.0,-0.4124946252,143.0,-1.7282740977,150.0,-1.0025613615,183.0,-0.6157092752000001,204.0,0.1108408429,226.0,-0.3204506669,253.0,-1.0394080683,255.0,-0.7053676289,257.0,-1.2628285701,264.0,-1.2425005557,268.0,-1.0771720292,284.0,-0.8684230316,300.0,-0.8239065405,306.0,0.057765191800000004
30,abx_mega__dmso-10,-0.3377955893333333,0.5171064762050277,3.0,46.0,-0.6586236787,57.0,-0.6135020676,66.0,0.25873897830000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,abx_mega__van_dmso,0.63309055076,0.7929591253911003,5.0,47.0,-0.1670679098,72.0,-0.2618209395,112.0,1.3718215075,156.0,0.9228442861,212.0,1.2996758095,,,,,,,,,,,,,,,,,,,,,,,,,,
32,abx_mega__ramo_h2o,-0.9329045648333333,0.11637625631246931,3.0,48.0,-1.0583610341,184.0,-0.911876915,266.0,-0.8284757454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abx_mega__h2o-7,-0.5281997070666667,0.5472967116545526,3.0,50.0,-0.6268343653,245.0,-1.0194719577,258.0,0.0617072018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,abx_mega__cro_h2o,-0.7766718620749999,0.22229919363144915,4.0,51.0,-0.5718708672,119.0,-1.0572150234,120.0,-0.8500087905,278.0,-0.6275927672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,abx_mega__tric_ethanol,0.17519186150000002,0.4156554737133266,2.0,52.0,-0.1187209426,182.0,0.4691046656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,abx_mega__nor_naoh,-0.23087867128,0.5549149529919555,5.0,53.0,0.0187464468,90.0,0.2482923844,100.0,0.23899866620000002,216.0,-0.8127366614,293.0,-0.8476941924,,,,,,,,,,,,,,,,,,,,,,,,,,
37,abx_mega__rfp_ethanol,2.1372299387,0.42852856606965434,2.0,60.0,2.4402453937,78.0,1.8342144837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,abx_mega__amyc-d_dmso,2.1044149604999998,0.37526664333856247,8.0,62.0,2.1518532625,91.0,2.5809381051,103.0,1.6351570022000002,105.0,1.9544987118,117.0,2.2100174405,141.0,1.7641058099,174.0,2.6770431351,201.0,1.8617062169,,,,,,,,,,,,,,,,,,,,
39,abx_mega__sxt_dmso,-0.10892349205000001,0.5999396732699231,4.0,63.0,0.6643033922,181.0,-0.6110372773,207.0,0.0661914977,239.0,-0.5551515808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,abx_mega__dmso-1,0.3323446822,0.6036438533141316,2.0,64.0,0.7591853443000001,180.0,-0.0944959799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,abx_mega__pen_h2o,-0.7339173118000001,0.5304121117954946,5.0,65.0,-0.3733709605,69.0,-1.1652238524,211.0,-1.2008092203,233.0,-0.9377465742000001,308.0,0.0075640484000000004,,,,,,,,,,,,,,,,,,,,,,,,,,
42,abx_mega__cip_naoh,-0.39439576556,0.7720048377949529,5.0,68.0,-1.3017706999,81.0,0.12914451940000002,128.0,-0.83455959,217.0,0.6313262272,240.0,-0.5961192845000001,,,,,,,,,,,,,,,,,,,,,,,,,,
43,abx_mega__h2o-1b,-0.69852001035,0.06085556905251566,2.0,73.0,-0.6554886248,95.0,-0.7415513959000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,abx_mega__ery_h2o,1.16684114785,0.7105857212350666,4.0,74.0,0.4227087478,124.0,1.5397711733000001,131.0,0.7388093962000001,196.0,1.9660752741,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,abx_mega__bacit_h2o,-0.90089516072,1.2491680070363114,5.0,75.0,-1.2879170871,87.0,-1.8197572091,89.0,-1.801492385,127.0,-0.7982130059,194.0,1.2029038835,,,,,,,,,,,,,,,,,,,,,,,,,,
46,abx_mega__tric_h2o,1.0307786732000002,1.4066802978906623,2.0,80.0,2.0254518508,243.0,0.0361054956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,abx_mega__bacit_dmso,1.0550030289333332,0.19986337236549093,3.0,83.0,0.8704062345,85.0,1.0273498308,304.0,1.2672530215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,abx_mega__gen_h2o,-0.4552223858,0.05074046912659222,2.0,84.0,-0.419343456,121.0,-0.49110131560000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,abx_mega__chl_dmso,1.5389197845,0.3986918776347226,3.0,86.0,1.9794524393000001,148.0,1.2028801945,202.0,1.4344267197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,abx_mega__lvx_dmso,-1.0073179563,0.5024562987556302,2.0,88.0,-0.6520277002,168.0,-1.3626082124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,abx_mega__naoh-6,-0.4236254248,0.5275139746726157,5.0,93.0,-1.1874063441,144.0,0.10088921890000001,153.0,-0.607667021,200.0,0.0440958689,252.0,-0.4680388467,,,,,,,,,,,,,,,,,,,,,,,,,,
52,abx_mega__rfp_h2o,3.349383538866667,0.14825280584882622,3.0,96.0,3.1781972473,237.0,3.4343982153,285.0,3.435555154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,abx_mega__tet_h2o,0.83217314135,0.7370434231634224,4.0,97.0,0.3447772678,169.0,1.9057481726,179.0,0.7231731265,215.0,0.3549939985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,abx_mega__flavo_dmso,-0.816208677275,0.5710889578256872,4.0,98.0,-1.1163904138,132.0,-1.0784779724,223.0,-1.1100300959,297.0,0.040063773000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,abx_mega__zeocin_h2o,0.28689167868,1.6806112786164622,5.0,99.0,-1.1278246057,173.0,-0.1021478765,193.0,2.7452909576,213.0,1.1610351286,292.0,-1.2418952106,,,,,,,,,,,,,,,,,,,,,,,,,,
56,abx_mega__valin_dmso,0.7371048618000001,0.8881148637885733,3.0,107.0,1.7428250719,140.0,0.40786260010000003,276.0,0.0606269134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,abx_mega__ethanol-10,-0.0696828436,0.549814054749915,3.0,109.0,-0.5533321002,115.0,0.5283131511,286.0,-0.1840295817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,abx_mega__inh_h2o,-0.42462121950000004,0.3922793596069237,4.0,110.0,-0.9320179245,145.0,-0.1586547972,185.0,-0.5322867288,272.0,-0.0755254275,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,abx_mega__doxo_dmso,0.6262513902000001,1.498233603481212,3.0,113.0,0.7915861062,283.0,-0.9477919279,301.0,2.0349599923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,abx_mega__tmp_dmso,-0.23455533140000004,0.597990175988331,6.0,114.0,-0.0064416052000000005,116.0,-0.1061539078,206.0,0.7184276034,218.0,-0.4659503867,222.0,-0.4764829336,224.0,-1.0707307585,,,,,,,,,,,,,,,,,,,,,,,,
61,abx_mega__sacet_h2o,-1.2367078676999999,1.4194161061725292,2.0,125.0,-0.2330291137,289.0,-2.2403866217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,abx_mega__ethanol-8,-0.5188951295666667,0.36184379678447043,3.0,129.0,-0.1587072094,161.0,-0.5156058028,188.0,-0.8823723765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,abx_mega__h2o-8a,-0.21256356056666667,0.45975756902508846,3.0,130.0,-0.341371668,247.0,0.2978599724,281.0,-0.5941789861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,abx_mega__naoh-2,-1.8241699375,0.5886192796815993,2.0,136.0,-1.4079532533,287.0,-2.2403866217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,abx_mega__ceru_ethanol,0.6815248442666667,0.6571469245394836,3.0,151.0,0.6359629537,197.0,1.360267043,225.0,0.0483445361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,abx_mega__dmso-7,-0.7149377608333335,0.6817106118703,3.0,152.0,-0.1702499956,236.0,-1.4794358745,295.0,-0.4951274124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,abx_mega__h2o-10,-0.4952588952333333,0.4123933463349362,3.0,157.0,-0.8977242821,158.0,-0.0736073247,246.0,-0.5144450789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,abx_mega__mem_dmso,-0.5755148556166667,0.478767517329405,6.0,160.0,-0.7973293664000001,167.0,-0.7931769999999999,209.0,-0.1968984584,220.0,0.11687592720000001,242.0,-1.2284317291,302.0,-0.554128507,,,,,,,,,,,,,,,,,,,,,,,,
69,abx_mega__van_h2o,-1.1612154779000001,0.3389943557667344,5.0,163.0,-0.7316980425,232.0,-1.4460387031,254.0,-1.4623011023,288.0,-0.8695045423000001,296.0,-1.2965349993,,,,,,,,,,,,,,,,,,,,,,,,,,
70,abx_mega__dcs_h2o,-0.398956811475,0.24873422988720087,4.0,164.0,-0.3629229103,230.0,-0.1892407072,274.0,-0.7564914958000001,279.0,-0.2871721326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,abx_mega__monac_dmso,-0.19439266677499997,0.8542636220199806,4.0,171.0,-1.2303121731,189.0,0.2797875588,250.0,0.6920954129,290.0,-0.5191414657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,abx_mega__fidax_dmso,-0.1908698197,0.18447197060718445,4.0,175.0,-0.18073575520000001,198.0,-0.44049596290000004,228.0,-0.1452708818,267.0,0.0030233211000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,abx_mega__h2o-1a,1.61907524424502e-17,0.8484312875294602,3.0,176.0,-0.8352911583,229.0,0.8609876145,303.0,-0.025696456200000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,abx_mega__dmso-9,-0.17411996813333333,0.3848091665268109,3.0,187.0,-0.24190431180000002,190.0,-0.5205330115,241.0,0.2400774189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,abx_mega__reta_dmso,0.8997848648000001,0.17286814796064667,4.0,195.0,0.9603156420000001,219.0,1.1126200309,235.0,0.722340776,271.0,0.8038630103000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,abx_mega__novo_dmso,2.5475086453,0.0619759698332109,3.0,199.0,2.582134335,273.0,2.5844343203999998,298.0,2.4759572805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,abx_mega__h2o-2,-1.58311591145,0.9295211525861468,2.0,277.0,-2.2403866217,291.0,-0.9258452012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,abx_mega__daro,-1.1359620945333333,0.9843613172375594,3.0,310.0,-0.8164557628,312.0,-2.2403866217,313.0,-0.3510438991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,abx_mega__solv,-0.7552947666666667,0.39949438165512274,3.0,311.0,-0.4688355174,314.0,-1.2116562882,315.0,-0.5853924944000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,abx_mega__dmso-4,1.5283509264333333,0.2613328453066298,3.0,316.0,1.5766797560999999,320.0,1.762146003,321.0,1.2462270202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,abx_mega__kirr_dmso,1.2557806909666667,0.5447736002014845,3.0,317.0,0.8410514413,318.0,1.0535381716,319.0,1.87275246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ackA_pta__dnaA46_del_ackA,-0.3401025987333333,0.09366479896042743,3.0,322.0,-0.2829960903,323.0,-0.2891119683,324.0,-0.44819973760000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ackA_pta__dnaA46_del_pta,0.08138125690000002,0.5237534368966215,3.0,325.0,0.6749037775000001,326.0,-0.3159579623,327.0,-0.1148020445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ackA_pta__dnaA46,-0.2902657963,0.3767874705015902,3.0,328.0,-0.3106970127,329.0,-0.656421975,330.0,0.0963215988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ackA_pta__del_ackA,-0.0260760047,0.3294489011975533,3.0,331.0,-0.2060948498,332.0,0.35416003630000004,333.0,-0.22629320060000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ackA_pta__del_pta,-0.3194158327,0.18481532873681028,3.0,334.0,-0.2660811455,335.0,-0.1671327248,336.0,-0.5250336278000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ackA_pta__wt,6.938893903907228e-18,0.25917377690501403,3.0,337.0,0.2357019059,338.0,-0.2775522532,339.0,0.0418503473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,anticancer__5fu,-0.24274990529999996,0.8170168588016997,3.0,340.0,-1.162069616,341.0,0.40036294050000004,348.0,0.0334569596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,anticancer__cap,0.34820392969999997,0.6303018477052577,3.0,342.0,0.2637696255,343.0,-0.2356248873,344.0,1.0164670509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,anticancer__wt,0.0,0.5236010629097383,3.0,345.0,0.5272778935,346.0,-0.0074327986,347.0,-0.5198450949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,bio_pln__aero_pln,0.0,0.18905648645551879,2.0,349.0,0.1336831236,350.0,-0.1336831236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,bio_pln__anaero_pln,-0.27658741025,0.39401585271531614,2.0,351.0,0.0020238711,352.0,-0.5551986916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,biocide__bzcl_12h,0.6381090205666666,0.41142969940246754,3.0,353.0,0.2150801414,354.0,0.6623821103,355.0,1.03686481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,biocide__etoh_12h,0.9821297041333334,0.7333731922067647,3.0,356.0,1.1732105748000001,357.0,0.1721298125,358.0,1.6010487251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,biocide__gluald_12h,1.3386354653,0.56001060521979,3.0,359.0,1.0949437704,360.0,0.9417591845000001,361.0,1.9792034410000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,biocide__h2o2_12h,1.1308806054333334,0.3355291184690267,3.0,362.0,0.9582649886000001,363.0,0.9168008709000001,364.0,1.5175759568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,biocide__2ppoh_12h,0.8798276421666666,0.41185649803728436,3.0,365.0,1.2944926144,366.0,0.8741520319,367.0,0.4708382802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,biocide__paa_12h,1.1068373764,0.292840568817848,3.0,368.0,0.8381312292,369.0,1.0634171292,370.0,1.4189637708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,biocide__phe_12h,1.1981171310333334,0.040901961680655415,3.0,371.0,1.2430312780000001,372.0,1.1883095643,373.0,1.1630105508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,biocide__pvp-i_12h,0.6507489123333333,0.6435389160781428,3.0,374.0,0.9551904564,375.0,-0.0885228338,376.0,1.0855791144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,biocide__bleach_12h,1.2848154384666666,0.19907368817451515,3.0,377.0,1.1233949744,378.0,1.50725749,379.0,1.223793851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,biocide__chx_12h,0.7011234189333333,0.7560298375284071,3.0,380.0,1.1988808225,381.0,1.0733399519,382.0,-0.1688505176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,biocide__bzcl_30m,0.257616436,0.4174482020731788,3.0,383.0,0.4968561341,384.0,-0.2244068851,385.0,0.5004000590000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,biocide__phe_30m,0.20430534733333336,0.6518891431897513,3.0,386.0,0.6502955105,387.0,0.506456946,388.0,-0.5438364145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,biocide__pvp-i_30m,0.8956207841000001,0.4487679509177204,3.0,389.0,0.8016079087,390.0,0.5013066374,391.0,1.3839478062000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,biocide__ctrl_12h,0.8674563103666667,0.6285176157822457,3.0,392.0,0.1832811585,393.0,1.4192166421,394.0,0.9998711305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,biocide__ctrl_30m,9.25185853854297e-18,0.17711095006586966,3.0,395.0,-0.1715593204,396.0,-0.010624895300000001,397.0,0.1821842157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,clpP__wt,0.0,0.6560436751818663,3.0,398.0,0.2685332802,400.0,-0.747708334,402.0,0.47917505380000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,clpP__wt_DPTA,-0.7069596070999999,1.1757666784107477,3.0,399.0,0.4633668931,401.0,-0.6961537353,403.0,-1.8880919791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,clpP__delclpP,0.5889971313333334,0.02477080101610833,3.0,404.0,0.5670897175,406.0,0.6158769645000001,408.0,0.5840247120000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,clpP__delclpP_DPTA,0.05606711173333334,1.2633705957277495,3.0,405.0,-0.9052411965,407.0,-0.4135523866,409.0,1.4869949183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,colombos2__delydcR,-0.6424130242666667,1.1293504114397668,3.0,410.0,-1.819910488,411.0,0.4316780033,412.0,-0.5390065881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,colombos2__delyjiR,-0.15791281273333335,0.2255924188008336,3.0,413.0,-0.3883478013,414.0,0.0625031913,415.0,-0.1478938282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,colombos2__wt,0.0,0.43157264732218,3.0,416.0,0.1278710821,417.0,-0.48105865200000003,418.0,0.3531875699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,crp_k100__ar1_ar2,-1.8148391968666668,0.5221827912408976,3.0,419.0,-2.0557104889,420.0,-1.215696299,421.0,-2.1731108027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,crp_k100__wt,0.0,0.8196828566307569,3.0,422.0,0.5005755907,423.0,-0.9459515388,424.0,0.44537594810000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,crp_k100__K100Q,0.0875671853,0.08623723901738777,2.0,425.0,0.026588248800000002,426.0,0.1485461218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,crp_k100__K100R,-0.16139280150000002,0.5467955697439603,3.0,427.0,-0.7923493398,428.0,0.1339414816,429.0,0.1742294537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
