,hslJ
Cr_1,0.005236245673184476
Cr_2,0.010738097213780622
Cr_3,0.019468563364479864
Cr_4,0.027954664063237777
Cr_5,0.03674049721798975
Cr_6,0.04740041534541455
Fe_1,-0.01252476192129503
Fe_2,-0.0173291220120321
Fe_3,-0.04545263153593165
Fe_4,-0.07674688456292818
Fe_5,-0.10753614113474204
Fe_6,-0.13468230059962755
Cd_1,0.006652677491805647
Cd_2,0.014920050170646763
Cd_3,0.021693031729664157
Cd_4,0.024129226729738343
Cd_5,0.02199301566621066
Cd_6,0.025093820154341338
Zn_1,-0.0027564942836790897
Zn_2,-0.007427490899381796
Zn_3,-0.010818572370561169
Zn_4,-0.022206412365708826
Zn_5,-0.03748826092473551
Zn_6,-0.04611824739510928
Cu_1,0.01912154631564477
Cu_2,0.0390545067116997
Cu_3,0.05082597847916763
Cu_4,0.056896576216748075
Cu_5,0.05063440551720104
Cu_6,0.04712279702248076
Pb_1,0.01849466580989554
Pb_2,0.037904711708919146
Pb_3,0.05199459050401483
Pb_4,0.0660466632572737
Pb_5,0.07635431619191796
Pb_6,0.0871922884314962
