,kefG
Cr_1,-0.008739276052278146
Cr_2,-0.00757140509445413
Cr_3,0.006054942315371046
Cr_4,0.020470036424986446
Cr_5,0.02769011836359809
Cr_6,0.02772954958500977
Fe_1,-0.0018044811568964183
Fe_2,-0.005134348361296079
Fe_3,-0.002424192062234293
Fe_4,-0.004721338512055995
Fe_5,-0.01661404137645736
Fe_6,-0.03502319577914167
Cd_1,0.011184312288475072
Cd_2,0.05001425209332835
Cd_3,0.10960977397164157
Cd_4,0.16883694657621393
Cd_5,0.2127284333840288
Cd_6,0.254802412736542
Zn_1,-0.05411732511346131
Zn_2,-0.08156260709866428
Zn_3,-0.11980270157561017
Zn_4,-0.13480240260935636
Zn_5,0.022334377791222205
Zn_6,0.017742528559740053
Cu_1,0.021654115490245804
Cu_2,0.04585424587083198
Cu_3,0.07480591923282079
Cu_4,0.09777128645747926
Cu_5,0.12984630036542086
Cu_6,0.16636491042110824
Pb_1,0.0058355049788022285
Pb_2,0.006781754451750582
Pb_3,0.005361377085865727
Pb_4,0.011652242536682438
Pb_5,0.007775620451396364
Pb_6,0.013045406758788914
