,mog
Cr_1,-0.0004485349271110754
Cr_2,0.0003923820481108308
Cr_3,0.0051690177908564425
Cr_4,0.009138121636588748
Cr_5,0.014508114001463254
Cr_6,0.018981526312751813
Fe_1,-0.010298068652627062
Fe_2,-0.02733400962750284
Fe_3,-0.04070044971815609
Fe_4,-0.05582315663318647
Fe_5,-0.06336164149277428
Fe_6,-0.06285814064184163
Cd_1,-0.0013716588332272806
Cd_2,-0.0006723322205133383
Cd_3,-0.0018524358761435528
Cd_4,-0.0029913798822682838
Cd_5,-0.006134502413550599
Cd_6,-0.004774926414916078
Zn_1,-0.0064366869920330005
Zn_2,-0.01503992437665459
Zn_3,-0.0162972285500697
Zn_4,-0.01683348638483639
Zn_5,-0.018360410129282242
Zn_6,-0.02182977544081651
Cu_1,0.003885867123517256
Cu_2,0.01039160073210566
Cu_3,0.016221616311481838
Cu_4,0.02020778102780446
Cu_5,0.026609033683031802
Cu_6,0.033656301820436364
Pb_1,0.003009795571883896
Pb_2,0.012840485144821218
Pb_3,0.02275800520032151
Pb_4,0.03781679875921915
Pb_5,0.05180299156093267
Pb_6,0.06481066584718988
