,tsf
Cr_1,-0.0013276542072617698
Cr_2,0.0010581233904481046
Cr_3,0.007697634985776723
Cr_4,0.012742983477724072
Cr_5,0.008024440133633749
Cr_6,0.005263572628877029
Fe_1,-0.01600133968200257
Fe_2,-0.029752619923330382
Fe_3,-0.0417437330353099
Fe_4,-0.050402555951996116
Fe_5,-0.046803615620195804
Fe_6,-0.03316780784471305
Cd_1,0.0022995884790047733
Cd_2,0.009841386404456145
Cd_3,0.015679042396119197
Cd_4,0.02071000250873184
Cd_5,0.01611217233709599
Cd_6,0.011252929354918121
Zn_1,0.015350749939764569
Zn_2,0.02342862419340249
Zn_3,0.02749841761138734
Zn_4,0.030744760766858226
Zn_5,0.047766508699389136
Zn_6,0.06973745606064577
Cu_1,0.005013091282471803
Cu_2,0.007873633560846114
Cu_3,0.013671321128941708
Cu_4,0.019617180012628428
Cu_5,0.029915405313372414
Cu_6,0.032349329875567746
Pb_1,-0.008003146151056673
Pb_2,-0.0111064220735619
Pb_3,-0.004226966673553065
Pb_4,-0.00409266387889633
Pb_5,-0.004717573000023368
Pb_6,0.00790659379032298
