,ssb
Cr_1,-0.003982519267921682
Cr_2,-0.005696221894444999
Cr_3,-0.006630011465875202
Cr_4,0.001958386652858209
Cr_5,0.0058100949977350005
Cr_6,0.01201405118369308
Fe_1,-0.033726549953751565
Fe_2,-0.0753967307506574
Fe_3,-0.10738234654869057
Fe_4,-0.14330424796595725
Fe_5,-0.16967554350725778
Fe_6,-0.1912697013562992
Cd_1,0.00029903986168116665
Cd_2,0.002532619309898984
Cd_3,0.006669737789678688
Cd_4,0.01051542915399389
Cd_5,0.00902104264489011
Cd_6,0.013600585029149964
Zn_1,-0.002178353032961057
Zn_2,-0.010550624457047507
Zn_3,-0.017303728726229553
Zn_4,-0.00987200268017374
Zn_5,-0.003157481105095844
Zn_6,0.009286209939255479
Cu_1,0.0064217667564863004
Cu_2,0.015975815124239397
Cu_3,0.02833453073725433
Cu_4,0.03994653721490228
Cu_5,0.05032222287137384
Cu_6,0.059517659147597775
Pb_1,0.0016447167866867909
Pb_2,0.007924910748213866
Pb_3,0.014364490152012731
Pb_4,0.019089066436689152
Pb_5,0.024707209601451816
Pb_6,0.033439000450345785
