,ydcJ
Cr_1,0.001858601632788024
Cr_2,0.0019920162100192447
Cr_3,0.00915908339604792
Cr_4,0.020068483846038508
Cr_5,0.03306593932644462
Cr_6,0.05050813003040218
Fe_1,-0.008510495969180397
Fe_2,-0.02843791265480348
Fe_3,-0.05653572824104984
Fe_4,-0.09702555558878888
Fe_5,-0.1337818495027505
Fe_6,-0.1700617692480034
Cd_1,0.0012390701350047245
Cd_2,0.008652337627112842
Cd_3,0.01736760987218214
Cd_4,0.022020631614776503
Cd_5,0.02272125480881365
Cd_6,0.02762888448995741
Zn_1,-0.005695382950064392
Zn_2,-0.016293278541412555
Zn_3,-0.032561555716261036
Zn_4,-0.0427940556604919
Zn_5,-0.0516912248937871
Zn_6,-0.04964624348356332
Cu_1,0.0004902558338742042
Cu_2,0.00627639421408657
Cu_3,0.012436585099551476
Cu_4,0.016499568893930536
Cu_5,0.021330452144658226
Cu_6,0.022110877838893598
Pb_1,0.009455905722296216
Pb_2,0.020578661803195147
Pb_3,0.03279823704525476
Pb_4,0.05036835324468137
Pb_5,0.06881293348828399
Pb_6,0.09119623052765796
