,fkpA
Cr_1,0.0008571534177319456
Cr_2,0.013272178720545192
Cr_3,0.04651356555773794
Cr_4,0.0529145820703497
Cr_5,0.04508245761963032
Cr_6,0.03598784442863141
Fe_1,-0.0172970954696133
Fe_2,-0.03672383589047308
Fe_3,-0.0503135053849858
Fe_4,-0.06899781323714907
Fe_5,-0.09230976134755134
Fe_6,-0.097853503879586
Cd_1,-0.0031669623464091324
Cd_2,-0.002492278885550748
Cd_3,0.006941327835587778
Cd_4,0.01797070418127569
Cd_5,0.010035500806263612
Cd_6,0.011710901770326524
Zn_1,0.012941304349984728
Zn_2,0.030951154639571817
Zn_3,0.046322594770897535
Zn_4,0.09609251578701043
Zn_5,0.13377504144224833
Zn_6,0.1850106234097221
Cu_1,0.004123096539437414
Cu_2,0.004874520864013229
Cu_3,0.012409243287478892
Cu_4,0.02780241470500993
Cu_5,0.035358745409014736
Cu_6,0.040884897656570884
Pb_1,0.0010606060002137712
Pb_2,0.00034130652108131404
Pb_3,0.00319337628215232
Pb_4,0.012389561551433392
Pb_5,0.016364197775898082
Pb_6,0.02008802680026963
