,ygaD
Cr_1,-0.0024016792109619284
Cr_2,-2.4238981010415697e-05
Cr_3,0.009876190225683942
Cr_4,0.008774484274561256
Cr_5,0.004297109861067873
Cr_6,-0.0005581348532983382
Fe_1,-0.05645657363038931
Fe_2,-0.09425894866441364
Fe_3,-0.10882221350454677
Fe_4,-0.1245358962047564
Fe_5,-0.12030369830504795
Fe_6,-0.1093027408936378
Cd_1,-0.0015951961620194295
Cd_2,0.0018055062071983547
Cd_3,0.00575219584943309
Cd_4,0.0152484907288124
Cd_5,0.02187411506576665
Cd_6,0.025113571670919
Zn_1,-0.07903805611161202
Zn_2,-0.10529945923659913
Zn_3,-0.10907503947863713
Zn_4,-0.10728898327805098
Zn_5,-0.09721916718525178
Zn_6,-0.0768425885097804
Cu_1,0.00884804938860718
Cu_2,0.02532716967148816
Cu_3,0.044538397525875184
Cu_4,0.05100720123831756
Cu_5,0.049979174450732765
Cu_6,0.06504643196525536
Pb_1,0.0016402246794685574
Pb_2,0.011045414718975776
Pb_3,0.02223201238668816
Pb_4,0.02479409180580364
Pb_5,0.020407200686795416
Pb_6,0.024836485086328186
