,hrpA
Cr_1,-0.008267456137390541
Cr_2,-0.0014458767809618395
Cr_3,0.0007638721271623317
Cr_4,0.0062880829043074505
Cr_5,0.013043036751541795
Cr_6,0.017342188307077098
Fe_1,-0.037704427034345935
Fe_2,-0.05868800330485201
Fe_3,-0.0661266456682512
Fe_4,-0.03848993801505996
Fe_5,-0.014170212495751068
Fe_6,-0.00043406368128613834
Cd_1,0.0008190916748385673
Cd_2,0.015424355251745422
Cd_3,0.025787021885682108
Cd_4,0.035868036042592435
Cd_5,0.047508090724962065
Cd_6,0.059782152358503614
Zn_1,0.00027208983104607163
Zn_2,-0.0027437294528616985
Zn_3,0.011241454077335351
Zn_4,0.03106555734562158
Zn_5,0.03542110962554531
Zn_6,0.06031237060723315
Cu_1,-0.003792189006623069
Cu_2,-0.0014075508884211795
Cu_3,0.0014868549662298124
Cu_4,0.010004015328182595
Cu_5,0.029407009638462038
Cu_6,0.04669568502477035
Pb_1,-0.0033555785852794
Pb_2,0.008325933165553
Pb_3,0.031240601079475187
Pb_4,0.0671190414062289
Pb_5,0.0940771493772092
Pb_6,0.12295185594076727
